building,town,county,occurrences,candidate_tower_id,candidate_confidence,decision,decision_reason
Assumption of the Blessed Virgin Mary,Gressenhall,Norfolk,3,10047,high,accept,"high confidence, verified sample and dedication tokens"
St Mary the Virgin,Welwyn,Hertfordshire,3,14639,high,accept,"high confidence, verified sample and dedication tokens"
,Birstall,Leics,3,16453,high,accept,"high confidence, verified sample and dedication tokens"
St John the Baptist,Broadclyst,Devon,3,13355,high,accept,"high confidence, verified sample and dedication tokens"
"St Bride's, Fleet Street",City of London,,3,21766,high,accept,"high confidence, verified sample and dedication tokens"
St Margaret,Westminster,,3,13657,high,accept,"high confidence, verified sample and dedication tokens"
22 Portugal Street,Cambridge,Cambridgeshire,3,,none,reject,resolver found no tower
"Briarwood, Goostrey Lane",Cranage,Cheshire,3,,none,reject,resolver found no tower
,Walesby,,3,16848,medium,reject,adjudicated: multi-tower town with no building evidence
St Mary the Virgin,Eccleston,Cheshire,3,14636,high,accept,"high confidence, verified sample and dedication tokens"
All Saints,Bisley,Gloucestershire,3,10527,high,accept,"high confidence, verified sample and dedication tokens"
,Broughton-in-Furness,,3,12023,high,accept,"high confidence, verified sample and dedication tokens"
Christ Church,Tunstall,Staffordshire,3,12994,high,accept,"high confidence, verified sample and dedication tokens"
St Luke,Silverdale,Staffordshire,3,10610,high,accept,"high confidence, verified sample and dedication tokens"
,Hunslet,,3,15244,high,accept,"high confidence, verified sample and dedication tokens"
Cathedral Church of St Nicholas,Newcastle upon Tyne,Tyne and Wear,3,10887,high,accept,"high confidence, verified sample and dedication tokens"
St Mary,Hawkesbury,Gloucestershire,3,17512,high,accept,"high confidence, verified sample and dedication tokens"
,Deddington,,3,11642,high,accept,"high confidence, verified sample and dedication tokens"
Larkfield,Holyport,Berkshire,3,,none,reject,resolver found no tower
St Michael,Basingstoke,Hampshire,3,16758,high,accept,"high confidence, verified sample and dedication tokens"
St Mary,Bow,Greater London,3,13996,high,accept,"high confidence, verified sample and dedication tokens"
St Gregory,Sudbury,Suffolk,3,15687,high,accept,"high confidence, verified sample and dedication tokens"
,Hollesley,,3,16100,high,accept,"high confidence, verified sample and dedication tokens"
,East Coker,,3,10605,high,accept,"high confidence, verified sample and dedication tokens"
,Horwich,,3,10582,medium,reject,adjudicated: multi-tower town with no building evidence
,Netherton,,3,15501,medium,reject,adjudicated: multi-tower town with no building evidence
St Peter,Ashton-under-Lyne,,3,15994,high,accept,"high confidence, verified sample and dedication tokens"
,Shirley,,3,16743,medium,reject,adjudicated: multi-tower town with no building evidence
,Tring,,3,15131,high,accept,"high confidence, verified sample and dedication tokens"
St Peter,Great Berkhamsted,Hertfordshire,3,12786,high,accept,"high confidence, verified sample and dedication tokens"
,Essendon,,3,15444,high,accept,"high confidence, verified sample and dedication tokens"
St Andrew,Old Cleeve,Somerset,3,15208,high,accept,"high confidence, verified sample and dedication tokens"
Holy Trinity,Eccleshall,Staffordshire,3,10452,high,accept,"high confidence, verified sample and dedication tokens"
St Nicholas,Tuxford,Nottinghamshire,3,14811,high,accept,"high confidence, verified sample and dedication tokens"
St Mary Magdalene,Clitheroe,Lancashire,3,11713,high,accept,"high confidence, verified sample and dedication tokens"
St Mary the Virgin and All Souls,Bulwell,Nottinghamshire,3,14775,high,accept,"high confidence, verified sample and dedication tokens"
St Martin,Brighouse,West Yorkshire,3,13843,high,accept,"high confidence, verified sample and dedication tokens"
Cathedral Church of the Blessed Virgin Mary,Lincoln,Lincolnshire,3,12153,high,accept,"high confidence, verified sample and dedication tokens"
Holy Trinity,Bledlow,Buckinghamshire,3,16778,high,accept,"high confidence, verified sample and dedication tokens"
St Chad,Welbourn,Lincolnshire,3,12909,high,accept,"high confidence, verified sample and dedication tokens"
St Mary,Eaton Socon,Cambridgeshire,3,16021,high,accept,"high confidence, verified sample and dedication tokens"
St David,Moreton in Marsh,Gloucestershire,3,14752,high,accept,"high confidence, verified sample and dedication tokens"
Cathedral Church of St Anne (RC),Leeds,West Yorkshire,3,11425,high,accept,"high confidence, verified sample and dedication tokens"
"St Stephen, Barbourne",Worcester,Worcestershire,3,12050,high,accept,"high confidence, verified sample and dedication tokens"
,Ripponden,,3,16188,high,accept,"high confidence, verified sample and dedication tokens"
Marches Teaching Belfry,Hopton Heath,Shropshire,3,13820,medium,reject,adjudicated: named private ring or non-church venue
St Lawrence,Alton,Hampshire,3,11925,high,accept,"high confidence, verified sample and dedication tokens"
St Mary,Radcliffe,Greater Manchester,3,13493,high,accept,"high confidence, verified sample and dedication tokens"
,Gressenhall,,3,10047,high,accept,"high confidence, verified sample and dedication tokens"
St Augustine,Broxbourne,Hertfordshire,3,10369,high,accept,"high confidence, verified sample and dedication tokens"
St Bertoline,Barthomley,Cheshire,3,15065,high,accept,"high confidence, verified sample and dedication tokens"
,Bromley,,3,14144,medium,reject,adjudicated: multi-tower town with no building evidence
,Woolwich,,3,14252,high,accept,"high confidence, verified sample and dedication tokens"
St John the Evangelist,Stanmore,Middlesex,3,10079,high,accept,"high confidence, verified sample and dedication tokens"
,Batley,,3,10394,medium,reject,adjudicated: multi-tower town with no building evidence
,Balcombe,,3,16605,high,accept,"high confidence, verified sample and dedication tokens"
St Peter,Harrogate,,3,11630,high,accept,"high confidence, verified sample and dedication tokens"
,Fulney,,3,10977,high,accept,"high confidence, verified sample and dedication tokens"
St Andrew,Banwell,Somerset,3,11561,high,accept,"high confidence, verified sample and dedication tokens"
,Deane,Lancs,3,11462,high,accept,"high confidence, verified sample and dedication tokens"
,Ewell,,3,12749,medium,reject,adjudicated: multi-tower town with no building evidence
Pig-le-Tower,Marston Bigot,,3,,none,reject,resolver found no tower
St Mary,Maulden,Bedfordshire,3,16127,high,accept,"high confidence, verified sample and dedication tokens"
,Bermondsey,,3,11128,medium,reject,adjudicated: multi-tower town with no building evidence
St Andrew,Moretonhampstead,Devon,3,14478,high,accept,"high confidence, verified sample and dedication tokens"
St Peter and St Paul,Buckingham,Buckinghamshire,3,12905,high,accept,"high confidence, verified sample and dedication tokens"
St Peter,Congleton,Cheshire,3,10579,high,accept,"high confidence, verified sample and dedication tokens"
St Michael,Maidstone,,3,12644,high,accept,"high confidence, verified sample and dedication tokens"
St Thomas,Helmshore,Lancashire,3,10421,high,accept,"high confidence, verified sample and dedication tokens"
18 Sandhills Way Calcot,Reading,Berkshire,3,,none,reject,resolver found no tower
Home Farmhouse,Burghill,Herefordshire,3,13979,medium,reject,adjudicated: building appears to be a house name
Christ Church,Raleigh,"North Carolina, United States of America",3,10203,high,accept,"high confidence, verified sample and dedication tokens"
,King's Norton,Leics,3,10950,high,accept,"high confidence, verified sample and dedication tokens"
,Norton,Worcs,3,14265,medium,reject,adjudicated: multi-tower town with no building evidence
,Uppingham,,3,13320,high,accept,"high confidence, verified sample and dedication tokens"
All Saints,Cottesbrooke,Northamptonshire,3,13783,high,accept,"high confidence, verified sample and dedication tokens"
Collegiate Church of St Mary de Castro,Leicester,Leicestershire,3,13828,high,accept,"high confidence, verified sample and dedication tokens"
St Michael with St Paul,Bath,,3,15431,high,accept,"high confidence, verified sample and dedication tokens"
,Easebourne,,3,16972,high,accept,"high confidence, verified sample and dedication tokens"
,East Grinstead,,3,15810,medium,reject,adjudicated: multi-tower town with no building evidence
,Oakham,,3,14688,high,accept,"high confidence, verified sample and dedication tokens"
First Presbyterian Church,Texarkana,Arkansas,3,11754,high,accept,"high confidence, verified sample and dedication tokens"
St Leonard,Shoreditch,London E,3,,none,reject,resolver found no tower
St Mary Magdalene,Creswell,Derbyshire,3,15007,high,accept,"high confidence, verified sample and dedication tokens"
St Andrew,Wanborough,Wiltshire,3,11390,high,accept,"high confidence, verified sample and dedication tokens"
,Wincanton,,3,12189,high,accept,"high confidence, verified sample and dedication tokens"
,Bishops Cannings,,3,16193,high,accept,"high confidence, verified sample and dedication tokens"
St Nicholas,Brockenhurst,Hampshire,3,12797,high,accept,"high confidence, verified sample and dedication tokens"
Holy Trinity,Buckfastleigh,Devon,3,11599,high,accept,"high confidence, verified sample and dedication tokens"
St Mary-de-Crypt,Gloucester,,3,11105,high,accept,"high confidence, verified sample and dedication tokens"
St James,Quedgeley,Gloucestershire,3,12499,high,accept,"high confidence, verified sample and dedication tokens"
St Andrew,Wiveliscombe,Somerset,3,12340,high,accept,"high confidence, verified sample and dedication tokens"
St Mary the Virgin,Bishops Cannings,Wiltshire,3,16193,high,accept,"high confidence, verified sample and dedication tokens"
,East Tytherley,,3,12006,high,accept,"high confidence, verified sample and dedication tokens"
St Mary the Virgin,Frensham,Surrey,3,10379,high,accept,"high confidence, verified sample and dedication tokens"
St John-the-Baptist,Erith,,3,16332,high,accept,"high confidence, verified sample and dedication tokens"
,Wellesbourne,,3,11177,high,accept,"high confidence, verified sample and dedication tokens"
St John the Baptist,New Alresford,Hampshire,3,15518,high,accept,"high confidence, verified sample and dedication tokens"
,Pulborough,,3,13676,high,accept,"high confidence, verified sample and dedication tokens"
Blessed Virgin Mary,Woolavington,Somerset,3,14170,high,accept,"high confidence, verified sample and dedication tokens"
St Mary,Prestbury,Gloucestershire,3,12141,high,accept,"high confidence, verified sample and dedication tokens"
All Saints,Hessle,Yorkshire,3,11671,high,accept,"high confidence, verified sample and dedication tokens"
St Helen,Tarporley,Cheshire,3,13819,high,accept,"high confidence, verified sample and dedication tokens"
,Bicester,,3,11528,high,accept,"high confidence, verified sample and dedication tokens"
,Heydour,,3,11252,high,accept,"high confidence, verified sample and dedication tokens"
"St Ambrose, Whitehall",Bristol,Bristol,3,15775,high,accept,"high confidence, verified sample and dedication tokens"
St Pancras,Widecombe in the Moor,Devon,3,14248,high,accept,"high confidence, verified sample and dedication tokens"
39 Titian Avenue,Bushey Heath,Hertfordshire,3,,none,reject,resolver found no tower
,Bushey,Herts,3,13627,medium,reject,adjudicated: multi-tower town with no building evidence
,Beaconsfield,,3,13441,medium,reject,adjudicated: multi-tower town with no building evidence
,Stanford-in-the-Vale,,3,17078,high,accept,"high confidence, verified sample and dedication tokens"
,Bourn,,3,12090,high,accept,"high confidence, verified sample and dedication tokens"
Christ Church,Southport,,3,10014,high,accept,"high confidence, verified sample and dedication tokens"
St Peter,Pebworth,Worcestershire,3,14179,high,accept,"high confidence, verified sample and dedication tokens"
All Saints,Earls Barton,Northamptonshire,3,13546,high,accept,"high confidence, verified sample and dedication tokens"
St Mary,Liverpool,Merseyside,3,12572,high,accept,"high confidence, verified sample and dedication tokens"
St Thomas of Canterbury,Goring on Thames,Oxfordshire,3,10908,high,accept,"high confidence, verified sample and dedication tokens"
St Mary the Virgin,Buckland,Oxfordshire,3,12723,high,accept,"high confidence, verified sample and dedication tokens"
,Barnwood,,3,10976,high,accept,"high confidence, verified sample and dedication tokens"
,Barkingside,,3,16995,medium,reject,adjudicated: multi-tower town with no building evidence
St Mary the Virgin,Woodford,Northamptonshire,3,17015,high,accept,"high confidence, verified sample and dedication tokens"
,Amblecote,,3,14839,high,accept,"high confidence, verified sample and dedication tokens"
St Michael & All Angels,Hughenden,Buckinghamshire,3,15656,high,accept,"high confidence, verified sample and dedication tokens"
St John,Farnworth and Kearsley,Lancashire,3,16563,high,accept,"high confidence, verified sample and dedication tokens"
St Peter and St Paul,Deddington,Oxfordshire,3,11642,high,accept,"high confidence, verified sample and dedication tokens"
,Donington,,3,14561,medium,reject,adjudicated: multi-tower town with no building evidence
"Cath and Parish Ch of St Mary, St Denys, & St George",Manchester,Greater Manchester,3,12311,high,accept,"high confidence, verified sample and dedication tokens"
St Mary and Michael,Trumpington,Cambridgeshire,3,10245,high,accept,"high confidence, verified sample and dedication tokens"
St Mary,Easton Neston,Northamptonshire,3,14582,high,accept,"high confidence, verified sample and dedication tokens"
,Holmfirth,,3,12802,high,accept,"high confidence, verified sample and dedication tokens"
St Michael & All Angels,Highclere,Hampshire,3,12671,high,accept,"high confidence, verified sample and dedication tokens"
,Old Windsor,,3,12878,high,accept,"high confidence, verified sample and dedication tokens"
St Andrew and St Cuthman,Steyning,West Sussex,3,10639,high,accept,"high confidence, verified sample and dedication tokens"
Stella Maris,"Charleston, Sullivan's Island","South Carolina, United States of America",3,,none,reject,resolver found no tower
St John,Lambeth,,3,10973,high,accept,"high confidence, verified sample and dedication tokens"
St Peter ad Vincula,Coggeshall,Essex,3,13518,high,accept,"high confidence, verified sample and dedication tokens"
St Martin,Caerphilly,Caerphilly,3,16855,high,accept,"high confidence, verified sample and dedication tokens"
Holy Cross,Mark,Somerset,3,14301,high,accept,"high confidence, verified sample and dedication tokens"
,Bushey,,3,13627,medium,reject,adjudicated: multi-tower town with no building evidence
,Colston Bassett,,3,11976,high,accept,"high confidence, verified sample and dedication tokens"
't klockhuys,Dordrecht,The Netherlands,3,14275,high,accept,"high confidence, verified sample and dedication tokens"
2 Orchard Road,Hitchin,Hertfordshire,3,,none,reject,resolver found no tower
,Withyham,,3,16152,medium,reject,adjudicated: multi-tower town with no building evidence
St Michael the Archangel,Aldershot,Hampshire,3,10989,high,accept,"high confidence, verified sample and dedication tokens"
,Hook Norton,,3,10393,high,accept,"high confidence, verified sample and dedication tokens"
,Oxhey,,3,13572,medium,reject,adjudicated: multi-tower town with no building evidence
St Mary,Watford,Hertfordshire,3,10317,high,accept,"high confidence, verified sample and dedication tokens"
St Laurence,York,,3,16125,high,accept,"high confidence, verified sample and dedication tokens"
,Norton,Yorks,3,10874,high,accept,"high confidence, verified sample and dedication tokens"
,Dewsbury,,3,10877,high,accept,"high confidence, verified sample and dedication tokens"
St Owen,Bromham,Bedfordshire,3,16225,high,accept,"high confidence, verified sample and dedication tokens"
St Peter,Birstall,West Yorkshire,3,13433,high,accept,"high confidence, verified sample and dedication tokens"
St Margaret the Queen,Buxted,East Sussex,3,15622,medium,accept,"medium, building shares dedication evidence"
Holy Trinity,Wandsworth,London SW,3,,none,reject,resolver found no tower
,Barnet,,3,14421,high,accept,"high confidence, verified sample and dedication tokens"
St Barnabas,Bromborough,Wirral,3,,none,reject,resolver found no tower
St Mary,Aspenden,Hertfordshire,3,10505,high,accept,"high confidence, verified sample and dedication tokens"
St Giles,Balderton,Nottinghamshire,3,14817,high,accept,"high confidence, verified sample and dedication tokens"
St Mary and All Saints,Chesterfield,Derbyshire,3,13811,high,accept,"high confidence, verified sample and dedication tokens"
St Martin in the Cornmarket,Worcester,Worcestershire,3,10704,high,accept,"high confidence, verified sample and dedication tokens"
Piltdown House,St Mary's Platt,Kent,3,,none,reject,resolver found no tower
St Mary the Virgin,Hugh Town,Isles of Scilly,3,15205,high,accept,"high confidence, verified sample and dedication tokens"
St Michael and St Wulfad,Stone,Staffordshire,3,12438,high,accept,"high confidence, verified sample and dedication tokens"
"SS Peter, Paul and Thomas of Canterbury",Bovey Tracey,Devon,3,14690,high,accept,"high confidence, verified sample and dedication tokens"
St John the Baptist,Weston-super-Mare,Somerset,3,12821,high,accept,"high confidence, verified sample and dedication tokens"
St Helen,Abingdon,Oxfordshire,3,15023,high,accept,"high confidence, verified sample and dedication tokens"
St Mary,Wolborough,Devon,3,12315,high,accept,"high confidence, verified sample and dedication tokens"
SS Mary and Edward,Barrow Gurney,Somerset,3,13023,medium,accept,"sole tower in town, building is ecclesiastical"
SS Mary & Edward,Barrow Gurney,Somerset,3,13023,medium,accept,"sole tower in town, building is ecclesiastical"
St Margaret,Warnham,West Sussex,3,15727,high,accept,"high confidence, verified sample and dedication tokens"
St John,Weston-super-mare,North Somerset,3,12821,high,accept,"high confidence, verified sample and dedication tokens"
St John the Baptist,Wolverley,Worcestershire,3,16470,high,accept,"high confidence, verified sample and dedication tokens"
St Gregory,Dawlish,Devon,3,10507,high,accept,"high confidence, verified sample and dedication tokens"
All Saints,Hertford,Hertfordshire,3,14953,high,accept,"high confidence, verified sample and dedication tokens"
St George,Benenden,Kent,3,10534,high,accept,"high confidence, verified sample and dedication tokens"
Holy Trinity,Stratford upon Avon,Warwickshire,3,10264,high,accept,"high confidence, verified sample and dedication tokens"
St Andrew,Farnham,Surrey,3,11301,high,accept,"high confidence, verified sample and dedication tokens"
St Mary the Virgin,Prittlewell,Essex,3,13422,high,accept,"high confidence, verified sample and dedication tokens"
St Peter,St Albans,,3,11034,high,accept,"high confidence, verified sample and dedication tokens"
28 Mardale Court,Holmes Chapel,Cheshire,3,,none,reject,resolver found no tower
St Peter,Bolton,Greater Manchester,3,11515,high,accept,"high confidence, verified sample and dedication tokens"
,Cox Green,Berks,3,19423,high,accept,"high confidence, verified sample and dedication tokens"
Magdalen College,Oxford,Oxon.,3,11203,high,accept,"high confidence, verified sample and dedication tokens"
St Editha,Tamworth,Staffordshire,3,11411,high,accept,"high confidence, verified sample and dedication tokens"
"18 Sandhills Way, Calcot",Reading,Berkshire,3,,none,reject,resolver found no tower
St Mary,Beddington,Surrey,3,,none,reject,resolver found no tower
,Berkeley,,3,12607,medium,reject,adjudicated: multi-tower town with no building evidence
St Andrew,Shrivenham,Oxfordshire,3,16485,high,accept,"high confidence, verified sample and dedication tokens"
,Bishop's Stortford,,3,13338,medium,reject,adjudicated: multi-tower town with no building evidence
St Paul,Bedford,Bedfordshire,3,14240,high,accept,"high confidence, verified sample and dedication tokens"
"St John the Evangelist, Ranmoor",Sheffield,South Yorkshire,3,16286,high,accept,"high confidence, verified sample and dedication tokens"
,Bury St Edmunds,,3,12587,medium,reject,adjudicated: multi-tower town with no building evidence
St James the Great,Colwall,Herefordshire,3,12769,high,accept,"high confidence, verified sample and dedication tokens"
,West Ham,,3,13183,high,accept,"high confidence, verified sample and dedication tokens"
All Saints,Ashover,Derbyshire,3,13902,high,accept,"high confidence, verified sample and dedication tokens"
,Wisbech,,3,11719,medium,reject,adjudicated: multi-tower town with no building evidence
,Duffield,,3,11235,high,accept,"high confidence, verified sample and dedication tokens"
St Sepulchre Ringing Chamber,City of London,,3,17135,medium,accept,"medium, building shares dedication evidence"
Cathedral Church of St James and St Edmund,Bury St Edmunds,Suffolk,3,12587,high,accept,"high confidence, verified sample and dedication tokens"
St Martin in the Fields,Westminster,Middlesex,3,15153,high,accept,"high confidence, verified sample and dedication tokens"
St Helen,Escrick,North Yorkshire,3,11686,high,accept,"high confidence, verified sample and dedication tokens"
"St Michael, Cornhill, Vestry",City of London,,3,16131,high,accept,"high confidence, verified sample and dedication tokens"
St Sepulchre without Newgate,City of London,,3,17135,high,accept,"high confidence, verified sample and dedication tokens"
,Ealing,Middx,3,13776,medium,reject,adjudicated: multi-tower town with no building evidence
Cathedral Church of St Saviour,Southwark,Greater London,3,16296,high,accept,"high confidence, verified sample and dedication tokens"
"Cathedral Church of the Holy Trinity, St Peter, St Paul and St Swithun",Winchester,Hampshire,3,24847,high,accept,"high confidence, verified sample and dedication tokens"
,Southampton,Hampshire,2,13796,medium,reject,adjudicated: multi-tower town with no building evidence
St Michael and All Angels,Haworth,West Yorkshire,2,10409,high,accept,"high confidence, verified sample and dedication tokens"
,Catshill,Worcestershire,2,17183,high,accept,"high confidence, verified sample and dedication tokens"
"St Mary, South Stoneham",Southampton,Hampshire,2,12022,high,accept,"high confidence, verified sample and dedication tokens"
St Mary,Harrington,Lincolnshire,2,16056,high,accept,"high confidence, verified sample and dedication tokens"
St Mary,Ashby Magna,Leicestershire,2,16462,high,accept,"high confidence, verified sample and dedication tokens"
,"Beacon Hill, Lickey",Worcestershire,2,,none,reject,resolver found no tower
,Lickey incline Bromsgrove,Worcestershire,2,,none,reject,resolver found no tower
All Saints,Wistow,North Yorkshire,2,10690,high,accept,"high confidence, verified sample and dedication tokens"
St Andrew's Church,Potterhanworth,Lincolnshire,2,14584,high,accept,"high confidence, verified sample and dedication tokens"
All Saints,Thorp Arch,West Yorkshire,2,13009,high,accept,"high confidence, verified sample and dedication tokens"
,"Catshill, Bromsgrove",Worcestershire,2,10080,high,accept,"high confidence, verified sample and dedication tokens"
Abbey Church of St Andrew,Sempringham,Lincolnshire,2,15245,high,accept,"high confidence, verified sample and dedication tokens"
St Thomas a Becket,Burton le Coggles,Lincolnshire,2,11921,high,accept,"high confidence, verified sample and dedication tokens"
"Mary Allan Building, Homerton College",Cambridge,Cambridgeshire,2,,none,reject,resolver found no tower
St Martin,Bole,Nottinghamshire,2,11802,high,accept,"high confidence, verified sample and dedication tokens"
,Sutton-cum-Lound,Notts,2,13122,high,accept,"high confidence, verified sample and dedication tokens"
All Saints,Pickwell,Leicestershire,2,10700,high,accept,"high confidence, verified sample and dedication tokens"
St Nicholas,Cherington,Gloucestershire,2,16449,high,accept,"high confidence, verified sample and dedication tokens"
St Peter,Kinver,Staffordshire,2,10945,high,accept,"high confidence, verified sample and dedication tokens"
St Mary le Wigford,Lincoln,Lincolnshire,2,13659,high,accept,"high confidence, verified sample and dedication tokens"
St Augustine,East Langdon,Kent,2,13450,high,accept,"high confidence, verified sample and dedication tokens"
Rolt Crescent,Middlewich,Cheshire,2,,none,reject,resolver found no tower
,Ringing Room,UK & USA & Switzerland,2,,none,reject,resolver found no tower
All Saints,Landbeach,Cambridgeshire,2,15449,high,accept,"high confidence, verified sample and dedication tokens"
All Saints,Tinwell,Rutland,2,16139,high,accept,"high confidence, verified sample and dedication tokens"
St Martin of Tours,Elworthy,Somerset,2,11997,high,accept,"high confidence, verified sample and dedication tokens"
St Mary Magdalene and St Andrew,Ridlington,Rutland,2,14895,high,accept,"high confidence, verified sample and dedication tokens"
Town Church,Guernsey,Channel islands,2,,none,reject,resolver found no tower
"Cathedral Church of St Marie, Hallam",Sheffield,South Yorkshire,2,10439,high,accept,"high confidence, verified sample and dedication tokens"
St Andrew,Cold Aston,Gloucestershire,2,16479,high,accept,"high confidence, verified sample and dedication tokens"
,Ringing Room,"Stanford in the Vale, Oxon",2,,none,reject,resolver found no tower
St John the Baptist,Campsea Ashe,Suffolk,2,15112,high,accept,"high confidence, verified sample and dedication tokens"
,"All Saints, Crondall",,2,12140,high,accept,"high confidence, verified sample and dedication tokens"
St Paul's College,Cheltenham,Gloucestershire,2,19105,high,accept,"high confidence, verified sample and dedication tokens"
,Basildon,Essex,2,11028,medium,reject,adjudicated: multi-tower town with no building evidence
,Ringing Room,Cheshire and Kent,2,,none,reject,resolver found no tower
"The Cathedral Church of St. Thomas of Canterbury, Ringing Room.",Portsmouth,Hampshire,2,13220,high,accept,"high confidence, verified sample and dedication tokens"
,"Exeter, 14 Brookfield Gardens",Devon,2,,none,reject,resolver found no tower
St Helen,Kneeton,Nottinghamshire,2,11584,high,accept,"high confidence, verified sample and dedication tokens"
St Oswald,East Stoke,Nottinghamshire,2,16915,high,accept,"high confidence, verified sample and dedication tokens"
"Tumulus, St Peter's Churchyard",Wootton Wawen,Warwickshire,2,10550,high,accept,"high confidence, verified sample and dedication tokens"
The Old Workhouse,Upton Bishop,Herefordshire,2,11201,medium,reject,adjudicated: building appears to be a house name
St Lawrence,Canon Pyon,Herefordshire,2,12706,high,accept,"high confidence, verified sample and dedication tokens"
St Mary,Winterborne Stickland,Dorset,2,10939,high,accept,"high confidence, verified sample and dedication tokens"
St George,Trotton,West Sussex,2,15306,high,accept,"high confidence, verified sample and dedication tokens"
St Milburga,Stoke St Milborough,Shropshire,2,15014,high,accept,"high confidence, verified sample and dedication tokens"
St Mary Magdalene,Yarwell,Northamptonshire,2,15600,high,accept,"high confidence, verified sample and dedication tokens"
All Saints,Hougham,Lincolnshire,2,14959,high,accept,"high confidence, verified sample and dedication tokens"
St Mary,Whaplode,Lincolnshire,2,14273,high,accept,"high confidence, verified sample and dedication tokens"
,Langdon Hills,,2,10356,high,accept,"high confidence, verified sample and dedication tokens"
,Fobbing,,2,15181,high,accept,"high confidence, verified sample and dedication tokens"
Channel Islands' Ringing Centre,Alderney,Alderney,2,13059,high,accept,"high confidence, verified sample and dedication tokens"
Holy Trinity,Gedney Hill,Lincolnshire,2,12767,high,accept,"high confidence, verified sample and dedication tokens"
All Saints,Moulton,Lincolnshire,2,15979,high,accept,"high confidence, verified sample and dedication tokens"
St Mary,Great Massingham,Norfolk,2,11581,high,accept,"high confidence, verified sample and dedication tokens"
All Saints,Holbeach,Lincolnshire,2,14527,high,accept,"high confidence, verified sample and dedication tokens"
"St Bartholomew the Great, Smithfield",City of London,,2,13868,high,accept,"high confidence, verified sample and dedication tokens"
,Lincoln,,2,12153,medium,reject,adjudicated: multi-tower town with no building evidence
St James the Great,Kimbolton,Herefordshire,2,15489,high,accept,"high confidence, verified sample and dedication tokens"
All Saints,Little Shelford,Cambridgeshire,2,11637,high,accept,"high confidence, verified sample and dedication tokens"
,Itchingfield,,2,10107,high,accept,"high confidence, verified sample and dedication tokens"
All Saints,Roos,East Riding of Yorkshire,2,14327,high,accept,"high confidence, verified sample and dedication tokens"
St Mary's Cathedral Ringing Room,Sydney,New South Wales,2,15468,high,accept,"high confidence, verified sample and dedication tokens"
St Llonio,Llandinam,Powys,2,15602,high,accept,"high confidence, verified sample and dedication tokens"
St Mary the Virgin,Shincliffe,County Durham,2,16794,high,accept,"high confidence, verified sample and dedication tokens"
St Mary,Broughton,Lincolnshire,2,11749,high,accept,"high confidence, verified sample and dedication tokens"
St Mary,Claxby,Lincolnshire,2,12072,high,accept,"high confidence, verified sample and dedication tokens"
St Nicholas,Great Wilbraham,Cambridgeshire,2,15674,high,accept,"high confidence, verified sample and dedication tokens"
St Margaret,Heveningham,Suffolk,2,13263,high,accept,"high confidence, verified sample and dedication tokens"
St John the Baptist,Penhow,Newport,2,14537,high,accept,"high confidence, verified sample and dedication tokens"
,Isham,,2,10292,high,accept,"high confidence, verified sample and dedication tokens"
St Nicholas,Marston,Oxfordshire,2,15711,high,accept,"high confidence, verified sample and dedication tokens"
4/4 Barnpark Terrace,Teignmouth,Devon,2,,none,reject,resolver found no tower
St Paul,Southville,Bristol,2,12016,high,accept,"high confidence, verified sample and dedication tokens"
In the Belfry of All Saints’ Church,Marple,Cheshire,2,15017,high,accept,"high confidence, verified sample and dedication tokens"
Basingstoke,Ringing Room,,2,,none,reject,resolver found no tower
,Croft,Leics,2,15866,high,accept,"high confidence, verified sample and dedication tokens"
Unknown,Durleigh,Somerset,2,12810,medium,accept,"sole tower in town, no building named"
St Peter,Pimperne,Dorset,2,11455,high,accept,"high confidence, verified sample and dedication tokens"
St George,Damerham,Hampshire,2,15111,high,accept,"high confidence, verified sample and dedication tokens"
,Midgham,,2,12976,high,accept,"high confidence, verified sample and dedication tokens"
St Giles,Bradford on Tone,Somerset,2,16990,high,accept,"high confidence, verified sample and dedication tokens"
,Sutton Coldfield,,2,11924,medium,reject,adjudicated: multi-tower town with no building evidence
St Peter,Goodworth Clatford,Hampshire,2,14231,high,accept,"high confidence, verified sample and dedication tokens"
All Saints,Barton Stacey,Hampshire,2,13777,high,accept,"high confidence, verified sample and dedication tokens"
St Peter,Westleigh,Devon,2,15042,high,accept,"high confidence, verified sample and dedication tokens"
The Parish church,East Farleigh,Kent,2,13991,medium,accept,"sole tower in town, building is ecclesiastical"
St Mary Magdalene,Croome D'Abitot,Worcestershire,2,12711,high,accept,"high confidence, verified sample and dedication tokens"
St Mary the Virgin,Weston by Welland,Northamptonshire,2,11695,high,accept,"high confidence, verified sample and dedication tokens"
Holy Trinity,Thrussington,Leicestershire,2,13754,high,accept,"high confidence, verified sample and dedication tokens"
St Luke,Kislingbury,Northamptonshire,2,16945,high,accept,"high confidence, verified sample and dedication tokens"
Holy Cross,Milton Malsor,Northamptonshire,2,11900,high,accept,"high confidence, verified sample and dedication tokens"
St Mary the Virgin,Whiston,Northamptonshire,2,14802,high,accept,"high confidence, verified sample and dedication tokens"
St John Baptist,Hellidon,Northamptonshire,2,15765,high,accept,"high confidence, verified sample and dedication tokens"
St Peter,Tilton-on-the-Hill,Leicestershire,2,10083,high,accept,"high confidence, verified sample and dedication tokens"
St Andrew,Cotterstock,Northamptonshire,2,12936,high,accept,"high confidence, verified sample and dedication tokens"
