building,town,county,occurrences,candidate_tower_id,candidate_confidence,decision,decision_reason
,Easton Neston,,60,14582,high,accept,"high confidence, verified sample and dedication tokens"
Cathedral,Birmingham,,59,16786,high,accept,"high confidence, verified sample and dedication tokens"
St Michael Archangel,Warfield,Berkshire,59,14430,high,accept,"high confidence, verified sample and dedication tokens"
St Michael,Haselbech,Northamptonshire,57,15424,high,accept,"high confidence, verified sample and dedication tokens"
Cathedral Church of St Martin,Leicester,Leicestershire,57,12250,high,accept,"high confidence, verified sample and dedication tokens"
St John the Baptist,Hannington,Wiltshire,56,11536,high,accept,"high confidence, verified sample and dedication tokens"
Bishops-Ting-Tong,Bishopsteignton,Devon,56,25195,high,accept,"high confidence, verified sample and dedication tokens"
"St Laurence, Hull Road",York,,56,16125,high,accept,"high confidence, verified sample and dedication tokens"
Christ Church with St Ewen,Bristol,Bristol,56,15455,high,accept,"high confidence, verified sample and dedication tokens"
Cathedral Church of St Paul,Wellington,New Zealand,55,10533,high,accept,"high confidence, verified sample and dedication tokens"
St Lawrence,Hungerford,Berkshire,55,11892,high,accept,"high confidence, verified sample and dedication tokens"
St George,Ticknall,Derbyshire,54,15214,high,accept,"high confidence, verified sample and dedication tokens"
St Edmund King and Martyr,Holme Pierrepont,Nottinghamshire,53,11290,high,accept,"high confidence, verified sample and dedication tokens"
,Thatcham,,53,15128,high,accept,"high confidence, verified sample and dedication tokens"
Christ Church,Spitalfields,Greater London,52,13840,high,accept,"high confidence, verified sample and dedication tokens"
,South Wigston,,52,11096,high,accept,"high confidence, verified sample and dedication tokens"
,Barrow-on-Soar,Leics,52,14755,high,accept,"high confidence, verified sample and dedication tokens"
All Saints,Maidstone,Kent,50,11883,high,accept,"high confidence, verified sample and dedication tokens"
St Peter,Derby,Derbyshire,48,10354,high,accept,"high confidence, verified sample and dedication tokens"
St Mary and All Saints,Willingham,Cambridgeshire,48,16597,high,accept,"high confidence, verified sample and dedication tokens"
"St Sepulchre without Newgate, Holborn Viaduct",City of London,,48,17135,high,accept,"high confidence, verified sample and dedication tokens"
St Michael,Shepton Beauchamp,,48,12916,high,accept,"high confidence, verified sample and dedication tokens"
,Saltby,,47,12864,high,accept,"high confidence, verified sample and dedication tokens"
28 Harmers Hay Road,Hailsham,East Sussex,46,,none,reject,resolver found no tower
46 Orchard Drive,St Albans,Hertfordshire,45,,none,reject,resolver found no tower
89 Wheatear Road,Yatton,Somerset,45,,none,reject,resolver found no tower
4 Bannutree Cottages,Bridstow,Herefordshire,45,,none,reject,resolver found no tower
St Uny,Lelant,Cornwall,44,16230,high,accept,"high confidence, verified sample and dedication tokens"
7 Laburnham Road,Maidenhead,Berkshire,44,,none,reject,resolver found no tower
Southrise,Crowhurst,East Sussex,43,,none,reject,resolver found no tower
,St Albans,Herts,43,15782,medium,reject,adjudicated: multi-tower town with no building evidence
Beckington,Hereford,Herefordshire,43,,none,reject,resolver found no tower
"St Paul, Jewellery Quarter",Birmingham,,43,12955,high,accept,"high confidence, verified sample and dedication tokens"
,Stratton St Margaret,,43,12307,high,accept,"high confidence, verified sample and dedication tokens"
St Giles,West Bridgford,Nottinghamshire,43,11771,high,accept,"high confidence, verified sample and dedication tokens"
3 Ditton Lane,Cambridge,Cambridgeshire,43,,none,reject,resolver found no tower
St Paul,Walkden,Lancashire,42,12869,high,accept,"high confidence, verified sample and dedication tokens"
,Barrowford,,42,25427,high,accept,"high confidence, verified sample and dedication tokens"
All Saints,Tarrant Keyneston,Dorset,41,15231,high,accept,"high confidence, verified sample and dedication tokens"
St Michael,Fobbing,Essex,41,15181,high,accept,"high confidence, verified sample and dedication tokens"
Christ Church,"Sheffield, Dore",South Yorkshire,41,15539,high,accept,"high confidence, verified sample and dedication tokens"
St Mary de Castro,Leicester,Leicestershire,41,13828,high,accept,"high confidence, verified sample and dedication tokens"
University Church of St Mary the Great,Cambridge,Cambridgeshire,40,13748,high,accept,"high confidence, verified sample and dedication tokens"
St Mary,Thatcham,Berkshire,40,15128,high,accept,"high confidence, verified sample and dedication tokens"
,Ringing Room,UK & USA,40,,none,reject,resolver found no tower
St Mary de Castro,Leicester,,40,13828,high,accept,"high confidence, verified sample and dedication tokens"
,Lockington,,40,14614,medium,reject,adjudicated: multi-tower town with no building evidence
St Leonard,Marston Bigot,Somerset,39,17035,high,accept,"high confidence, verified sample and dedication tokens"
St Peter,Belper,Derbyshire,39,16536,high,accept,"high confidence, verified sample and dedication tokens"
106 Beaumont Road,Barrow on Soar,,39,,none,reject,resolver found no tower
4 Spencer St,Eastwood,New South Wales,38,,none,reject,resolver found no tower
St Mary Magdalen,Oxford,Oxfordshire,38,14239,high,accept,"high confidence, verified sample and dedication tokens"
St Thomas the Apostle,Heptonstall,West Yorkshire,38,16233,high,accept,"high confidence, verified sample and dedication tokens"
St Lawrence,Longney,Gloucestershire,38,12074,high,accept,"high confidence, verified sample and dedication tokens"
"St James Garlickhythe, Garlick Hill",City of London,,37,16578,high,accept,"high confidence, verified sample and dedication tokens"
St Andrew's Centre,Pershore,Worcestershire,37,11394,high,accept,"high confidence, verified sample and dedication tokens"
The Vicarage,Bretton,Peterborough,37,,none,reject,resolver found no tower
Christ Church,Swindon,Wiltshire,37,10478,high,accept,"high confidence, verified sample and dedication tokens"
St Andrew,Lismore,New South Wales,36,13969,high,accept,"high confidence, verified sample and dedication tokens"
Sacred Trinity,Salford,Greater Manchester,36,13054,high,accept,"high confidence, verified sample and dedication tokens"
"St Michael, Cornhill",City of London,,36,16131,high,accept,"high confidence, verified sample and dedication tokens"
