child_method_id,child_title,child_stage,parent_method_id,parent_title,parent_stage,family_name,relationship,confidence,evidence
m20189,Biddulph Surprise Major,8,m15407,Biddulph Surprise Minor,6,Biddulph,extension,medium,Consistent lead structure (24->32) and front work (58%)
m14874,Bidean nam Bian Surprise Minor,6,m40612,Bidean nam Bian Minimus,4,Bidean nam Bian,name_only,high,Different classifications (Hybrid vs Surprise)
m31048,Bidean nam Bian Delight Royal,10,m40612,Bidean nam Bian Minimus,4,Bidean nam Bian,name_only,high,Different classifications (Hybrid vs Delight)
m31048,Bidean nam Bian Delight Royal,10,m14874,Bidean nam Bian Surprise Minor,6,Bidean nam Bian,variant,medium,Cross-class structural variant (Surprise->Delight) with 54% front work alignment
m32599,Big Ben Bob Caters,9,m23501,Big Ben Delight Minor,6,Big Ben,name_only,high,Different classifications (Delight vs Bob)
m46071,Big Cold Wet One Surprise Major,8,m31248,Big Cold Wet One Surprise Minor,6,Big Cold Wet One,extension,high,"Preserved front work (75%), valid lead progression (24->32), matching Surprise"
m33216,Biggles Little Surprise Royal,10,m11464,Biggles Bob Minor,6,Biggles,name_only,high,Different classifications (Bob vs Surprise)
m11233,Bilborough Bob Minor,6,m30360,Bilborough Place Doubles,5,Bilborough,name_only,high,Dissimilar notation (10% front work) despite shared name
m17799,Billingshurst Surprise Major,8,m10137,Billingshurst Bob Triples,7,Billingshurst,name_only,high,Different classifications (Bob vs Surprise)
m29188,Billy the Kid Surprise Minor,6,m52257,Billy the Kid Alliance Minimus,4,Billy the Kid,name_only,high,Different classifications (Alliance vs Surprise)
m14503,Bilton Surprise Minor,6,m51011,Bilton Treble Place Doubles,5,Bilton,name_only,high,Different classifications (Treble Place vs Surprise)
m15813,Bingley Surprise Major,8,m23526,Bingley Delight Minor,6,Bingley,variant,medium,Cross-class structural variant (Delight->Surprise) with 62% front work alignment
m14789,Binnein Mòr Surprise Minor,6,m40613,Binnein Mòr Minimus,4,Binnein Mòr,name_only,high,Different classifications (Hybrid vs Surprise)
m12483,Birkenhead Mollington Street Bob Major,8,m11211,Birkenhead Mollington Street Bob Minor,6,Birkenhead Mollington Street,extension,medium,Consistent lead structure (12->16) and front work (58%)
m21156,Birmingham Surprise Royal,10,m15966,Birmingham Surprise Major,8,Birmingham,extension,high,"Preserved front work (75%), valid lead progression (32->40), matching Surprise"
m22643,Birmingham Surprise Maximus,12,m15966,Birmingham Surprise Major,8,Birmingham,extension,high,"Preserved front work (72%), valid lead progression (32->48), matching Surprise"
m14276,Birmingham Bob Sixteen,16,m15966,Birmingham Surprise Major,8,Birmingham,name_only,high,Different classifications (Surprise vs Bob)
m21156,Birmingham Surprise Royal,10,m25300,Birmingham Delight Major,8,Birmingham,variant,medium,"Partial structural overlap (38% front work), altered lead progression"
m22643,Birmingham Surprise Maximus,12,m25300,Birmingham Delight Major,8,Birmingham,variant,low,Weak notation alignment (34% front work); likely independent construction
m14276,Birmingham Bob Sixteen,16,m25300,Birmingham Delight Major,8,Birmingham,name_only,high,Different classifications (Delight vs Bob)
m22643,Birmingham Surprise Maximus,12,m21156,Birmingham Surprise Royal,10,Birmingham,extension,high,"Preserved front work (80%), valid lead progression (40->48), matching Surprise"
m14276,Birmingham Bob Sixteen,16,m21156,Birmingham Surprise Royal,10,Birmingham,name_only,high,Different classifications (Surprise vs Bob)
m14276,Birmingham Bob Sixteen,16,m22643,Birmingham Surprise Maximus,12,Birmingham,name_only,high,Different classifications (Surprise vs Bob)
m28012,Birmingham Carter Caters,9,m27986,Birmingham Carter Triples,7,Birmingham Carter,extension,high,"Preserved front work (100%), valid lead progression (12->12), matching Principle"
m28031,Birmingham Carter Cinques,11,m27986,Birmingham Carter Triples,7,Birmingham Carter,extension,high,"Preserved front work (100%), valid lead progression (12->12), matching Principle"
m28031,Birmingham Carter Cinques,11,m28012,Birmingham Carter Caters,9,Birmingham Carter,extension,high,"Preserved front work (100%), valid lead progression (12->12), matching Principle"
m13928,Birstall Bob Royal,10,m12671,Birstall Bob Major,8,Birstall,extension,high,"Preserved front work (81%), valid lead progression (16->20), matching Bob"
m13928,Birstall Bob Royal,10,m19062,Birstall Surprise Major,8,Birstall,name_only,high,Different classifications (Surprise vs Bob)
m13928,Birstall Bob Royal,10,m24887,Birstall Delight Major,8,Birstall,name_only,high,Different classifications (Delight vs Bob)
m13928,Birstall Bob Royal,10,m28389,Birstall Alliance Major,8,Birstall,name_only,high,Different classifications (Alliance vs Bob)
m35017,Birthday Differential Royal,10,m24812,Birthday Delight Major,8,Birthday,name_only,high,Different classifications (Delight vs Hybrid)
m22250,Biryani Surprise Royal,10,m12295,Biryani Bob Triples,7,Biryani,name_only,high,Different classifications (Bob vs Surprise)
m12269,Biscay Bob Triples,7,m57233,Biscay Treble Bob Minor,6,Biscay,name_only,high,Different classifications (Treble Bob vs Bob)
m25725,Biscay Delight Royal,10,m57233,Biscay Treble Bob Minor,6,Biscay,variant,medium,Cross-class structural variant (Treble Bob->Delight) with 71% front work alignment
m25725,Biscay Delight Royal,10,m12269,Biscay Bob Triples,7,Biscay,name_only,high,Different classifications (Bob vs Delight)
m14189,Bisham Bob Cinques,11,m26463,Bisham Alliance Doubles,5,Bisham,name_only,high,Different classifications (Alliance vs Bob)
m44882,Bishop of Portsmouth Surprise Maximus,12,m25654,Bishop of Portsmouth Delight Royal,10,Bishop of Portsmouth,variant,medium,Cross-class structural variant (Delight->Surprise) with 52% front work alignment
m25292,Bishopthorpe Delight Major,8,m12229,Bishopthorpe Bob Minor,6,Bishopthorpe,name_only,high,Different classifications (Bob vs Delight)
m18984,Bismuth Surprise Major,8,m23383,Bismuth Delight Minor,6,Bismuth,variant,medium,"Partial structural overlap (38% front work), altered lead progression"
m12408,Bistow Little Bob Triples,7,m10577,Bistow Little Bob Doubles,5,Bistow,extension,high,"Preserved front work (100%), valid lead progression (4->4), matching Bob"
