domain,raw_term,canonical_term,category,evidence_count,source_examples,notes
dedication,St Michael and All Angels,Saint Michael and All Angels,abbreviation_expansion,64,MP: Haworth; MP: Ravenstone,St -> Saint
dedication,St James,Saint James,abbreviation_expansion,63,MP: Waresley; MP: Colesbourne,St -> Saint
dedication,S Edmund,Saint Edmund,abbreviation_expansion,60,Dove: Acle; Dove: Castleton,S -> Saint
dedication,St Peter and St Paul,Saint Peter and Saint Paul,abbreviation_expansion,59,MP: Stallingborough; MP: Ospringe Ringing Chamber,St -> Saint
dedication,S Clement,Saint Clement,abbreviation_expansion,58,Dove: Cambridge; Dove: Cwmcarvan,S -> Saint
dedication,S Mary & All Saints,Saint Mary and All Saints,abbreviation_expansion,56,Dove: Beaconsfield; Dove: Bingham,S -> Saint
dedication,S Denys,Saint Denys,abbreviation_expansion,51,Dove: Aswarby; Dove: Cold Ashby,S -> Saint
dedication,SS Peter and Paul,Saints Peter and Paul,abbreviation_expansion,50,MP: Eye; MP: Scaldwell,SS -> Saints
dedication,dedication unknown,dedication unknown,verbatim,47,Dove: Bishop's Caundle; Dove: Canford Magna,Standard dedication
dedication,S Swithun,Saint Swithin,abbreviation_expansion,46,Dove: Bathford; Dove: Cheswardine,S -> Saint; Spelling standardized: Swithun -> Swithin
dedication,St Mary Magdalene,Saint Mary Magdalene,abbreviation_expansion,43,MP: Yarwell; MP: South Marston,St -> Saint
dedication,St Giles,Saint Giles,abbreviation_expansion,42,MP: Marston Montgomery; MP: Lockton,St -> Saint
dedication,St Leonard,Saint Leonard,abbreviation_expansion,41,MP: Streatham; MP: Ipstones,St -> Saint
dedication,St Margaret,Saint Margaret,abbreviation_expansion,41,MP: Bowers Gifford; MP: Long Riston,St -> Saint
dedication,S Alban,Saint Alban,abbreviation_expansion,40,Dove: Beaworthy; Dove: Frant,S -> Saint
dedication,S Thomas a Becket,Saint Thomas Becket,spelling_variant,40,Dove: Bridford; Dove: Burton le Coggles,Qualifier expanded: \bS Thomas a Becket\b -> Saint Thomas Becket
dedication,S Thomas of Canterbury,Saint Thomas Becket,alias,40,Dove: Aunsby; Dove: Brightling,Qualifier expanded: \bS Thomas of Canterbury\b -> Saint Thomas Becket
dedication,no dedication,no dedication,verbatim,40,Towers: Amberley; Towers: Aston Eyre,Standard dedication
dedication,S Gregory,Saint Gregory,abbreviation_expansion,39,Dove: Barnham; Dove: Bedale,S -> Saint
dedication,St Lawrence,Saint Lawrence,abbreviation_expansion,39,Towers: TowerID 23677; Towers: TowerID 23640,St -> Saint
dedication,St Bartholomew,Saint Bartholomew,abbreviation_expansion,37,MP: Chalvington; MP: Welby,St -> Saint; Spelling standardized: Bartholomew -> Bartholomew
dedication,S Aidan,Saint Aidan,abbreviation_expansion,36,Dove: Bamburgh; Dove: Hartlepool,S -> Saint
dedication,S David,Saint David,abbreviation_expansion,35,Dove: Barton St David; Dove: Davidstow,S -> Saint
dedication,S Faith,Saint Faith,abbreviation_expansion,35,Dove: Bacton; Dove: Berrow,S -> Saint
dedication,S Hilda,Saint Hilda,abbreviation_expansion,35,Dove: Ampleforth; Dove: Bilsborrow,S -> Saint
dedication,S Philip,Saint Philip,abbreviation_expansion,35,Dove: Sydney; Towers: Alderley Edge,S -> Saint
dedication,St George,Saint George,abbreviation_expansion,35,Towers: TowerID 19779; MP: Stowlangtoft,St -> Saint
dedication,Assumption of BVM,Assumption of the Blessed Virgin Mary,abbreviation_expansion,34,Dove: Attleborough; Dove: Beachampton,Prefix expanded: ^Assumption of BVM\b -> Assumption of the Blessed Virgin Mary
dedication,S Margaret of Antioch,Saint Margaret of Antioch,abbreviation_expansion,34,Dove: Barley; Dove: Barming,S -> Saint
dedication,S Swithin,Saint Swithin,abbreviation_expansion,34,Dove: Barston; Dove: Bicker,S -> Saint
dedication,St John the Evangelist,Saint John the Evangelist,abbreviation_expansion,34,MP: Brigg; MP: Penge,St -> Saint
dedication,Holy Rood,Holy Rood,verbatim,33,Dove: Ampney Crucis; Dove: Buckland Newton,Standard dedication
dedication,S Philip & S James,Saint Philip and Saint James,abbreviation_expansion,33,Dove: Clifton; Dove: Groby,S -> Saint
dedication,St Martin,Saint Martin,abbreviation_expansion,33,Towers: TowerID 23650; Towers: TowerID 23652,St -> Saint
dedication,St Paul,Saint Paul,abbreviation_expansion,32,MP: Fulney; MP: Broadwell,St -> Saint
dedication,Emmanuel,Emmanuel,verbatim,29,Dove: Compton Gifford; Dove: Saltburn by the Sea,Standard dedication
dedication,S Dunstan,Saint Dunstan,abbreviation_expansion,29,Dove: Baltonsborough; Dove: Bolnhurst,S -> Saint
dedication,S James Less,Saint James Less,abbreviation_expansion,28,Dove: Dorney; Dove: Halse,S -> Saint
dedication,S Michael Archangel,Saint Michael Archangel,abbreviation_expansion,28,Dove: Aldershot; Dove: Cwmdu,S -> Saint
dedication,S Nicolas,Saint Nicolas,abbreviation_expansion,28,Dove: Abingdon; Dove: Cranleigh,S -> Saint
dedication,The Ascension,The Ascension,verbatim,28,Dove: Burghclere; Dove: Rochester,Standard dedication
dedication,S John Div,Saint John the Divine,abbreviation_expansion,27,Dove: Colston Bassett; Dove: Horninglow,Qualifier expanded: \bS John Div\b -> Saint John the Divine
dedication,Cathedral,Cathedral,verbatim,26,MP: Newcastle; MP: Bristol,Standard dedication
dedication,S Francis,Saint Francis,abbreviation_expansion,26,Towers: Alverstoke; Towers: Ashford,S -> Saint
dedication,S Mary BV,Saint Mary BV,abbreviation_expansion,26,Dove: Brabourne; Dove: Burwell,S -> Saint
dedication,St Laurence,Saint Lawrence,abbreviation_expansion,26,MP: Wyck Rissington; MP: Lighthorne,St -> Saint; Spelling standardized: Laurence -> Lawrence
