domain,raw_term,canonical_term,category,evidence_count,source_examples,notes
dedication,Holy & Undivided Trinity,Holy and Undivided Trinity,abbreviation_expansion,2,Dove: Ossett; Towers: Ossett,Standard dedication
dedication,Holy Apostles,Holy Apostles,verbatim,2,Towers: Charlton Kings; Towers: Leicester,Standard dedication
dedication,Holy Cross & S Mary,Holy Cross and Saint Mary,abbreviation_expansion,2,Dove: Quainton; Towers: Quainton,S -> Saint
dedication,Holy Cross Monastery,Holy Cross Monastery,verbatim,2,Dove: Makhanda; Towers: Makhanda,Standard dedication
dedication,Holy Evangelist,Holy Evangelist,verbatim,2,Dove: Shipton; Towers: Shipton,Standard dedication
dedication,Holy Family of Nazareth,Holy Family of Nazareth,verbatim,2,Dove: Lindfield; Towers: Lindfield,Standard dedication
dedication,Holy Trinity & S Mary V,Holy Trinity and Saint Mary the Virgin,abbreviation_expansion,2,Dove: Old Clee; Towers: Old Clee,Qualifier expanded: \bS Mary V\b -> Saint Mary the Virgin
dedication,Holy Trinity & S Thomas of Canterbury,Holy Trinity and Saint Thomas Becket,alias,2,Dove: Ettington; Towers: Ettington,Qualifier expanded: \bS Thomas of Canterbury\b -> Saint Thomas Becket
dedication,"Holy Trinity, West Hill","Holy Trinity, West Hill",verbatim,2,MP: Wandsworth; MP: Wandsworth,Standard dedication
dedication,Holy and Undivided Trinity,Holy and Undivided Trinity,verbatim,2,MP: Ossett; MP: Bristol,Standard dedication
dedication,Hoskins Memorial Church,Hoskins Memorial Church,verbatim,2,Dove: Lithgow; Towers: Lithgow,Standard dedication
dedication,Hospital Chapel,Hospital Chapel,verbatim,2,Towers: Greatham; Towers: Sherburn,Standard dedication
dedication,Iglesia de San Francisco el Grande (Royal Church),Iglesia de San Francisco el Grande (Royal Church),verbatim,2,Dove: Madrid; Towers: Madrid,Standard dedication
dedication,"Immanuel Chapel, Virginia Theological Seminary","Immanuel Chapel, Virginia Theological Seminary",verbatim,2,Dove: Alexandria; Towers: Alexandria,Standard dedication
dedication,Immanuel on the Green,Immanuel on the Green,verbatim,2,Dove: New Castle; Towers: New Castle,Standard dedication
dedication,Jack & Jill House Campanile,Jack and Jill House Campanile,abbreviation_expansion,2,Dove: Gosport; Towers: Gosport,Standard dedication
dedication,Jalou York formerly Arts Centre,Jalou York formerly Arts Centre,verbatim,2,Dove: York; Towers: York,Standard dedication
dedication,Joynson Ring,Joynson Ring,verbatim,2,Dove: Wotton under Edge; Towers: Wotton under Edge,Standard dedication
dedication,Larkfield,Larkfield,verbatim,2,Towers: TowerID 21472; MP: Holyport,Standard dedication
dedication,Leigh End,Leigh End,verbatim,2,Dove: Wheatley; Towers: Wheatley,Standard dedication
dedication,Les Clloches d'Âne,Les Clloches d'Âne,verbatim,2,Dove: Torteval; Towers: Torteval,Standard dedication
dedication,Little Creed Cottage,Little Creed Cottage,verbatim,2,MP: Bosham; MP: Bosham,Standard dedication
dedication,Manor Park Chapel,Manor Park Chapel,verbatim,2,Dove: Grace Dieu; Towers: Grace Dieu,Standard dedication
dedication,Maybells Campanile,Maybells Campanile,verbatim,2,Dove: Colden Common; Towers: Colden Common,Standard dedication
dedication,Memorial Bell Tower,Memorial Bell Tower,verbatim,2,Dove: Hingham; Towers: Hingham,Standard dedication
dedication,Metropolitan Cath Ch of S Chad,Metropolitan Cath Church of Saint Chad,abbreviation_expansion,2,Dove: Birmingham; Towers: Birmingham,Qualifier expanded: \bCh\b -> Church; S -> Saint
dedication,Midways Campanile,Midways Campanile,verbatim,2,Dove: Portsmouth; Towers: Portsmouth,Standard dedication
dedication,Minster Ch of S Andrew,Minster Church of Saint Andrew,abbreviation_expansion,2,Dove: Plymouth; Towers: Plymouth,Prefix expanded: ^Minster Ch of\b -> Minster Church of; S -> Saint
dedication,Minster Ch of S George,Minster Church of Saint George,abbreviation_expansion,2,Dove: Doncaster; Towers: Doncaster,Prefix expanded: ^Minster Ch of\b -> Minster Church of; S -> Saint
dedication,Minster Ch of S Helen,Minster Church of Saint Helen,abbreviation_expansion,2,Dove: St Helens; Towers: St Helens,Prefix expanded: ^Minster Ch of\b -> Minster Church of; S -> Saint
dedication,Minster Ch of S James,Minster Church of Saint James,abbreviation_expansion,2,Dove: Grimsby; Towers: Grimsby,Prefix expanded: ^Minster Ch of\b -> Minster Church of; S -> Saint
dedication,Minster Ch of S John & S Martin,Minster Church of Saint John and Saint Martin,abbreviation_expansion,2,Dove: Beverley; Towers: Beverley,Prefix expanded: ^Minster Ch of\b -> Minster Church of; S -> Saint
dedication,Minster Ch of S John Ev,Minster Church of Saint John the Evangelist,abbreviation_expansion,2,Dove: Preston; Towers: Preston,Prefix expanded: ^Minster Ch of\b -> Minster Church of; Qualifier expanded: \bS John Ev\b -> Saint John the Evangelist
dedication,Minster Ch of S Margaret,Minster Church of Saint Margaret,abbreviation_expansion,2,Dove: King's Lynn; Towers: King's Lynn,Prefix expanded: ^Minster Ch of\b -> Minster Church of; S -> Saint
dedication,Minster Ch of S Mary Magd,Minster Church of Saint Mary Magdalene,abbreviation_expansion,2,Dove: Taunton; Towers: Taunton,Prefix expanded: ^Minster Ch of\b -> Minster Church of; Qualifier expanded: \bS Mary Magd\b -> Saint Mary Magdalene
dedication,Minster Ch of S Mary le Tower,Minster Church of Saint Mary le Tower,abbreviation_expansion,2,Dove: Ipswich; Towers: Ipswich,Prefix expanded: ^Minster Ch of\b -> Minster Church of; S -> Saint
dedication,Minster Ch of S Michael & All Angels & S Benedict Biscop,Minster Church of Saint Michael and All Angels and Saint Benedict Biscop,abbreviation_expansion,2,Dove: Sunderland; Towers: Sunderland,Prefix expanded: ^Minster Ch of\b -> Minster Church of; S -> Saint
dedication,Minster Ch of S Nicholas,Minster Church of Saint Nicholas,abbreviation_expansion,2,Dove: Great Yarmouth; Towers: Great Yarmouth,Prefix expanded: ^Minster Ch of\b -> Minster Church of; S -> Saint
dedication,Minster Ch of S Peter,Minster Church of Saint Peter,abbreviation_expansion,2,Dove: Leeds; Towers: Leeds,Prefix expanded: ^Minster Ch of\b -> Minster Church of; S -> Saint
dedication,Minster Ch of S Peter ad Vincula,Minster Church of Saint Peter ad Vincula,abbreviation_expansion,2,Dove: Stoke on Trent; Towers: Stoke on Trent,Prefix expanded: ^Minster Ch of\b -> Minster Church of; S -> Saint
dedication,Minster Ch of S Thomas of Canterbury & S Thomas Ap,Minster Church of Saint Thomas Becket and Saint Thomas Ap,abbreviation_expansion,2,Dove: Newport; Towers: Newport,Prefix expanded: ^Minster Ch of\b -> Minster Church of; Qualifier expanded: \bS Thomas of Canterbury\b -> Saint Thomas Becket; S -> Saint
dedication,Minster Ch of the Holy Trinity,Minster Church of the Holy Trinity,abbreviation_expansion,2,Dove: Stonegrave; Towers: Stonegrave,Prefix expanded: ^Minster Ch of\b -> Minster Church of
dedication,Minster Ch of the Most Holy & Undivided Trinity,Minster Church of the Most Holy and Undivided Trinity,abbreviation_expansion,2,Dove: Kingston upon Hull; Towers: Kingston upon Hull,Prefix expanded: ^Minster Ch of\b -> Minster Church of
dedication,Minster Church of St John the Baptist,Minster Church of Saint John the Baptist,abbreviation_expansion,2,MP: Halifax; MP: Croydon,St -> Saint
dedication,Minster Church of St Peter ad Vincula,Minster Church of Saint Peter ad Vincula,abbreviation_expansion,2,MP: Stoke on Trent; MP: Stoke upon Trent,St -> Saint
dedication,Mount S Alphonsus,Mount Saint Alphonsus,abbreviation_expansion,2,Dove: Limerick; Towers: Limerick,S -> Saint
dedication,Municipal Hotel Liverpool,Municipal Hotel Liverpool,verbatim,2,Dove: Liverpool; Towers: Liverpool,Standard dedication
dedication,Narnia Campanile,Narnia Campanile,verbatim,2,Dove: Stubbington; Towers: Stubbington,Standard dedication
dedication,National Cath Ch of S Patrick,National Cath Church of Saint Patrick,abbreviation_expansion,2,Dove: Dublin; Towers: Dublin,Qualifier expanded: \bCh\b -> Church; S -> Saint
dedication,Nativity of BV,Nativity of BV,verbatim,2,Dove: Lympstone; Towers: Lympstone,Standard dedication
dedication,Nativity of the Blessed Virgin Mary,Nativity of the Blessed Virgin Mary,verbatim,2,MP: Madley; MP: Ringstead,Standard dedication
dedication,Newdenne Bells,Newdenne Bells,verbatim,2,Dove: Warnham; Towers: Warnham,Standard dedication
dedication,Old Gas Works Campanile,Old Gas Works Campanile,verbatim,2,Dove: Brockenhurst; Towers: Brockenhurst,Standard dedication
dedication,Old Post Office Tower,Old Post Office Tower,verbatim,2,Dove: Washington; Towers: Washington,Standard dedication
dedication,Old S Paul's,Old Saint Paul's,abbreviation_expansion,2,Dove: Wellington; Towers: Wellington,S -> Saint
dedication,Old St Mary's,Old Saint Mary's,abbreviation_expansion,2,Dove: Chester; Towers: Chester,St -> Saint
dedication,Old Steeple (S Mary's Tower),Old Steeple (Saint Mary's Tower),abbreviation_expansion,2,Dove: Dundee; Towers: Dundee,S -> Saint
dedication,"Oldham, Vernet-les-Bains & Great Hockham","Oldham, Vernet-les-Bains and Great Hockham",abbreviation_expansion,2,MP: Ringing Room; MP: Sonneur,Standard dedication
dedication,Oratory Ch of S Wilfrid,Oratory Church of Saint Wilfrid,abbreviation_expansion,2,Dove: York; Towers: York,Qualifier expanded: \bCh\b -> Church; S -> Saint
dedication,Our Blessed Lady,Our Blessed Lady,verbatim,2,Dove: Halford; Towers: Halford,Standard dedication
dedication,Our Blessed Lady Immaculate,Our Blessed Lady Immaculate,verbatim,2,Dove: Blackhill; Towers: Blackhill,Standard dedication
dedication,Our Immaculate Lady of Victories,Our Immaculate Lady of Victories,verbatim,2,Dove: Clapham; Towers: Clapham,Standard dedication
dedication,Our Lady & Eng Martyrs,Our Lady and Eng Martyrs,abbreviation_expansion,2,Dove: Cambridge; Towers: Cambridge,Standard dedication
dedication,Our Lady of Egmanton,Our Lady of Egmanton,verbatim,2,Dove: Egmanton; Towers: Egmanton,Standard dedication
dedication,Palace Campanile,Palace Campanile,verbatim,2,Dove: Whitacre Heath; Towers: Whitacre Heath,Standard dedication
dedication,Palmer Memorial Episcopal Church,Palmer Memorial Episcopal Church,verbatim,2,Dove: Houston; Towers: Houston,Standard dedication
dedication,Parkway Campanile,Parkway Campanile,verbatim,2,Dove: St Neots; Towers: St Neots,Standard dedication
dedication,Pentecostal City Mission Ch,Pentecostal City Mission Church,abbreviation_expansion,2,Dove: Roundhay; Towers: Roundhay,Qualifier expanded: \bCh\b -> Church
dedication,Perkins School for the Blind,Perkins School for the Blind,verbatim,2,Dove: Watertown; Towers: Watertown,Standard dedication
dedication,Pig Sty,Pig Sty,verbatim,2,Dove: Timsbury; Towers: Timsbury,Standard dedication
dedication,Pig-le-Tower,Pig-le-Tower,verbatim,2,MP: Marston Bigot; MP: Marston Bigot,Standard dedication
dedication,Plantagenet Ring,Plantagenet Ring,verbatim,2,Dove: Church Lawford; Towers: Church Lawford,Standard dedication
dedication,Potters Yard Ring,Potters Yard Ring,verbatim,2,Dove: Holcombe; Towers: Holcombe,Standard dedication
dedication,Priory,Priory,verbatim,2,Towers: Brinkburn; MP: Worksop,Standard dedication
dedication,Priory & Parish Ch of Our Lady of England,Priory and Parish Church of Our Lady of England,abbreviation_expansion,2,Dove: Storrington; Towers: Storrington,Qualifier expanded: \bCh\b -> Church
dedication,Priory Ch of Holy Trinity,Priory Church of Holy Trinity,abbreviation_expansion,2,Dove: Christchurch; Towers: Christchurch,Prefix expanded: ^Priory Ch of\b -> Priory Church of
dedication,Priory Ch of S James,Priory Church of Saint James,abbreviation_expansion,2,Dove: Bristol; Towers: Bristol,Prefix expanded: ^Priory Ch of\b -> Priory Church of; S -> Saint
dedication,Priory Ch of S Laurence,Priory Church of Saint Lawrence,abbreviation_expansion,2,Dove: Snaith; Towers: Snaith,Prefix expanded: ^Priory Ch of\b -> Priory Church of; S -> Saint; Spelling standardized: Laurence -> Lawrence
dedication,Priory Ch of S Mary & S Bega,Priory Church of Saint Mary and Saint Bega,abbreviation_expansion,2,Dove: St Bees; Towers: St Bees,Prefix expanded: ^Priory Ch of\b -> Priory Church of; S -> Saint
dedication,Priory Ch of S Mary & S Michael,Priory Church of Saint Mary and Saint Michael,abbreviation_expansion,2,Dove: Great Malvern; Towers: Great Malvern,Prefix expanded: ^Priory Ch of\b -> Priory Church of; S -> Saint
dedication,Priory Ch of S Mary V,Priory Church of Saint Mary the Virgin,abbreviation_expansion,2,Dove: Cartmel; Towers: Cartmel,Prefix expanded: ^Priory Ch of\b -> Priory Church of; Qualifier expanded: \bS Mary V\b -> Saint Mary the Virgin
dedication,Priory Ch of S Peter,Priory Church of Saint Peter,abbreviation_expansion,2,Dove: Dunstable; Towers: Dunstable,Prefix expanded: ^Priory Ch of\b -> Priory Church of; S -> Saint
dedication,Qua-ring-tine,Qua-ring-tine,verbatim,2,Dove: Brockenhurst; Towers: Brockenhurst,Standard dedication
dedication,Queen's Tower,Queen's Tower,verbatim,2,Dove: South Kensington; Towers: South Kensington,Standard dedication
dedication,Rector's Ring,Rector's Ring,verbatim,2,Dove: Sculthorpe; Towers: Sculthorpe,Standard dedication
dedication,Red Light Ring,Red Light Ring,verbatim,2,Dove: Dunkirk; Towers: Dunkirk,Standard dedication
dedication,Ringmore 21,Ringmore 21,verbatim,2,Dove: Stoke sub Hamdon; Towers: Stoke sub Hamdon,Standard dedication
dedication,Romanby Green Campanile,Romanby Green Campanile,verbatim,2,Dove: Romanby; Towers: Romanby,Standard dedication
dedication,Ruined Cath Ch of S Columba,Ruined Cath Church of Saint Columba,abbreviation_expansion,2,Dove: Dunkeld; Towers: Dunkeld,Qualifier expanded: \bCh\b -> Church; S -> Saint
dedication,Ruined Cath Ch of S Michael,Ruined Cath Church of Saint Michael,abbreviation_expansion,2,Dove: Coventry; Towers: Coventry,Qualifier expanded: \bCh\b -> Church; S -> Saint
dedication,Ruined ch of Holy Trinity,Ruined Church of Holy Trinity,abbreviation_expansion,2,Dove: Buckfastleigh; Towers: Buckfastleigh,Qualifier expanded: \bCh\b -> Church
dedication,S Adelwold,Saint Adelwold,abbreviation_expansion,2,Dove: Alvingham; Towers: Alvingham,S -> Saint
dedication,S Adwena,Saint Adwena,abbreviation_expansion,2,Dove: Advent; Towers: Advent,S -> Saint
dedication,S Aelhaiarn,Saint Aelhaiarn,abbreviation_expansion,2,Dove: Guilsfield; Towers: Guilsfield,S -> Saint
dedication,S Aldhelm & S Eadburga,Saint Aldhelm and Saint Eadburga,abbreviation_expansion,2,Dove: Broadway; Towers: Broadway,S -> Saint
dedication,S Alfege,Saint Alfege,abbreviation_expansion,2,Dove: Greenwich; Towers: Greenwich,S -> Saint
dedication,S Alkelda,Saint Alkelda,abbreviation_expansion,2,Dove: Giggleswick in Craven; Towers: Giggleswick in Craven,S -> Saint
dedication,S Alleyne,Saint Alleyne,abbreviation_expansion,2,Dove: St Allen; Towers: St Allen,S -> Saint
dedication,S Andrew & S Cuthman,Saint Andrew and Saint Cuthman,abbreviation_expansion,2,Dove: Steyning; Towers: Steyning,S -> Saint
dedication,S Andrew & S Swithin,Saint Andrew and Saint Swithin,abbreviation_expansion,2,Dove: Launcells; Towers: Launcells,S -> Saint
dedication,S Andrew (Old Church),Saint Andrew (Old Church),abbreviation_expansion,2,Towers: Hove; Towers: Kingsbury,S -> Saint
dedication,S Andrew A&M,Saint Andrew A&M,abbreviation_expansion,2,Dove: Broadhembury; Towers: Broadhembury,S -> Saint
dedication,S Andrew Ap,Saint Andrew Ap,abbreviation_expansion,2,Dove: Bolton upon Dearne; Towers: Bolton upon Dearne,S -> Saint
dedication,S Andrew Gt,Saint Andrew Gt,abbreviation_expansion,2,Dove: Cambridge; Towers: Cambridge,S -> Saint
dedication,S Andrew Holborn,Saint Andrew Holborn,abbreviation_expansion,2,Dove: London; Towers: London,S -> Saint
dedication,S Andrew Old Church,Saint Andrew Old Church,abbreviation_expansion,2,Towers: Holcombe; Towers: Melton,S -> Saint
dedication,S Andrew's Centre,Saint Andrew's Centre,abbreviation_expansion,2,Dove: Pershore; Towers: Pershore,S -> Saint
dedication,S Anna,Saint Anna,abbreviation_expansion,2,Dove: Thornbury; Towers: Thornbury,S -> Saint
dedication,S Anne & All Saints,Saint Anne and All Saints,abbreviation_expansion,2,Towers: Coventry; Towers: South Lambeth,S -> Saint
dedication,S Anne Mother of BVM,Saint Anne Mother of the Blessed Virgin Mary,abbreviation_expansion,2,Dove: Siston; Towers: Siston,Qualifier expanded: \bBVM\b -> the Blessed Virgin Mary; S -> Saint
dedication,S Anta & All Saints,Saint Anta and All Saints,abbreviation_expansion,2,Dove: Carbis Bay; Towers: Carbis Bay,S -> Saint
dedication,S Audoen,Saint Audoen,abbreviation_expansion,2,Dove: Dublin; Towers: Dublin,S -> Saint
dedication,S Augustin,Saint Augustin,abbreviation_expansion,2,Towers: Bournemouth; Towers: Tynemouth,S -> Saint
dedication,S Augustine & S John,Saint Augustine and Saint John,abbreviation_expansion,2,Dove: Dublin; Towers: Dublin,S -> Saint
dedication,S Barrwg,Saint Barrwg,abbreviation_expansion,2,Dove: Bedwas; Towers: Bedwas,S -> Saint
dedication,S Bartholomew & All Saints,Saint Bartholomew and All Saints,abbreviation_expansion,2,Dove: Royal Wootton Bassett; Towers: Royal Wootton Bassett,S -> Saint; Spelling standardized: Bartholomew -> Bartholomew
dedication,S Bartholomew Gt,Saint Bartholomew Gt,abbreviation_expansion,2,Dove: London; Towers: London,S -> Saint; Spelling standardized: Bartholomew -> Bartholomew
dedication,S Bede,Saint Bede,abbreviation_expansion,2,Towers: Newsham; Towers: Town Farm End,S -> Saint
dedication,S Bega,Saint Bega,abbreviation_expansion,2,Towers: Bassenthwaite; Towers: Eskdale Green,S -> Saint
dedication,S Bene't,Saint Bene't,abbreviation_expansion,2,Dove: Cambridge; Towers: Cambridge,S -> Saint
dedication,S Benedict Biscop,Saint Benedict Biscop,abbreviation_expansion,2,Dove: Wombourne; Towers: Wombourne,S -> Saint
dedication,S Bertoline,Saint Bertoline,abbreviation_expansion,2,Dove: Barthomley; Towers: Barthomley,S -> Saint
dedication,S Birinus,Saint Birinus,abbreviation_expansion,2,Towers: Calcot; Towers: Morgan's Vale,S -> Saint
dedication,S Botolph & S John Bapt,Saint Botolph and Saint John the Baptist,abbreviation_expansion,2,Dove: Croxton Kerrial; Towers: Croxton Kerrial,Qualifier expanded: \bS John Bapt\b -> Saint John the Baptist; S -> Saint; Spelling standardized: Botolph -> Botolph
dedication,S Botolph without Aldgate,Saint Botolph without Aldgate,abbreviation_expansion,2,Dove: London; Towers: London,S -> Saint; Spelling standardized: Botolph -> Botolph
dedication,S Botolph without Bishopsgate,Saint Botolph without Bishopsgate,abbreviation_expansion,2,Dove: London; Towers: London,S -> Saint; Spelling standardized: Botolph -> Botolph
dedication,S Brandon,Saint Brandon,abbreviation_expansion,2,Dove: Brancepeth; Towers: Brancepeth,S -> Saint
dedication,S Brannock,Saint Brannock,abbreviation_expansion,2,Dove: Braunton; Towers: Braunton,S -> Saint
dedication,S Breock,Saint Breock,abbreviation_expansion,2,Dove: St Breocke; Towers: St Breocke,S -> Saint
dedication,S Brevita,Saint Brevita,abbreviation_expansion,2,Dove: Lanlivery; Towers: Lanlivery,S -> Saint
dedication,S Bride,Saint Bride,abbreviation_expansion,2,Towers: Kirkbride; Towers: London,S -> Saint
dedication,S Briochus,Saint Briochus,abbreviation_expansion,2,Dove: Lezant; Towers: Lezant,S -> Saint
dedication,S Britius,Saint Britius,abbreviation_expansion,2,Dove: Brize Norton; Towers: Brize Norton,S -> Saint
dedication,S Bronach,Saint Bronach,abbreviation_expansion,2,Dove: Rostrevor; Towers: Rostrevor,S -> Saint
dedication,S Brueredus,Saint Brueredus,abbreviation_expansion,2,Dove: St Breward; Towers: St Breward,S -> Saint
dedication,S Brynach,Saint Brynach,abbreviation_expansion,2,Dove: Nevern; Towers: Nevern,S -> Saint
dedication,S Budeaux,Saint Budeaux,abbreviation_expansion,2,Dove: St Budeaux; Towers: St Budeaux,S -> Saint
dedication,S Budocus,Saint Budocus,abbreviation_expansion,2,Dove: St Budock; Towers: St Budock,S -> Saint
dedication,S Buriana,Saint Buriana,abbreviation_expansion,2,Dove: St Buryan; Towers: St Buryan,S -> Saint
dedication,S Candida & Holy Cross,Saint Candida and Holy Cross,abbreviation_expansion,2,Dove: Whitchurch Canonicorum; Towers: Whitchurch Canonicorum,S -> Saint
dedication,S Canice,Saint Canice,abbreviation_expansion,2,Dove: Katoomba; Towers: Katoomba,S -> Saint
dedication,S Caradog,Saint Caradog,abbreviation_expansion,2,Dove: Lawrenny; Towers: Lawrenny,S -> Saint
dedication,S Carantoc,Saint Carantoc,abbreviation_expansion,2,Dove: Crantock; Towers: Crantock,S -> Saint
dedication,S Cassian,Saint Cassian,abbreviation_expansion,2,Dove: Chaddesley Corbett; Towers: Chaddesley Corbett,S -> Saint
dedication,S Cathen,Saint Cathen,abbreviation_expansion,2,Dove: Llangathen; Towers: Llangathen,S -> Saint
dedication,S Catherine & S Paul,Saint Catherine and Saint Paul,abbreviation_expansion,2,Dove: Hoddesdon; Towers: Hoddesdon,S -> Saint
dedication,S Cattwg,Saint Cattwg,abbreviation_expansion,2,Dove: Llangattock; Towers: Llangattock,S -> Saint
dedication,S Catwg,Saint Catwg,abbreviation_expansion,2,Dove: Cadoxton juxta Neath; Towers: Cadoxton juxta Neath,S -> Saint
dedication,S Cedd,Saint Cedd,abbreviation_expansion,2,Towers: Canning Town; Towers: North Stifford,S -> Saint
dedication,S Cenedlon,Saint Cenedlon,abbreviation_expansion,2,Dove: Rockfield; Towers: Rockfield,S -> Saint
dedication,S Cennydd,Saint Cennydd,abbreviation_expansion,2,Dove: Llangennith; Towers: Llangennith,S -> Saint
dedication,S Clarus,Saint Clarus,abbreviation_expansion,2,Dove: St Cleer; Towers: St Cleer,S -> Saint
dedication,S Clederus,Saint Clederus,abbreviation_expansion,2,Dove: St Clether; Towers: St Clether,S -> Saint
dedication,S Clement B&M,Saint Clement Bishop and Martyr,abbreviation_expansion,2,Dove: Powderham; Towers: Powderham,Qualifier expanded: \bB&M\b -> Bishop and Martyr; S -> Saint
dedication,S Clement Danes,Saint Clement Danes,abbreviation_expansion,2,Dove: Westminster; Towers: Westminster,S -> Saint
dedication,S Clydog,Saint Clydog,abbreviation_expansion,2,Dove: Clodock; Towers: Clodock,S -> Saint
dedication,S Colan,Saint Colan,abbreviation_expansion,2,Dove: Colan; Towers: Colan,S -> Saint
dedication,S Collen,Saint Collen,abbreviation_expansion,2,Dove: Llangollen; Towers: Llangollen,S -> Saint
dedication,S Comgall,Saint Comgall,abbreviation_expansion,2,Dove: Bangor; Towers: Bangor,S -> Saint
dedication,S Congar,Saint Congar,abbreviation_expansion,2,Dove: Badgworth; Towers: Badgworth,S -> Saint
dedication,S Corentyn,Saint Corentyn,abbreviation_expansion,2,Dove: Cury; Towers: Cury,S -> Saint
dedication,S Cornelius,Saint Cornelius,abbreviation_expansion,2,Towers: Cornelly; Towers: Linwood,S -> Saint
dedication,S Crewenna,Saint Crewenna,abbreviation_expansion,2,Dove: Crowan; Towers: Crowan,S -> Saint
dedication,S Crispin,Saint Crispin,abbreviation_expansion,2,Towers: Bermondsey; Towers: Braunstone,S -> Saint
dedication,S Cronan,Saint Cronan,abbreviation_expansion,2,Towers: Balla; Towers: Roscrea,S -> Saint
dedication,S Curig,Saint Curig,abbreviation_expansion,2,Dove: Porthkerry; Towers: Porthkerry,S -> Saint
dedication,S Cuthberga,Saint Cuthberga,abbreviation_expansion,2,Dove: Wimborne Minster; Towers: Wimborne Minster,S -> Saint
dedication,S Cuthbert & S Mary,Saint Cuthbert and Saint Mary,abbreviation_expansion,2,Dove: Barton; Towers: Barton,S -> Saint
dedication,S Cuthbert & S Oswald,Saint Cuthbert and Saint Oswald,abbreviation_expansion,2,Dove: Winksley; Towers: Winksley,S -> Saint
dedication,S Cybi,Saint Cybi,abbreviation_expansion,2,Dove: Llangybi; Towers: Llangybi,S -> Saint
dedication,S Cynfarch,Saint Cynfarch,abbreviation_expansion,2,Dove: Hope; Towers: Hope,S -> Saint
dedication,S Cyngar,Saint Cyngar,abbreviation_expansion,2,Dove: Llangefni; Towers: Llangefni,S -> Saint
dedication,S Cynog,Saint Cynog,abbreviation_expansion,2,Dove: Defynnog; Towers: Defynnog,S -> Saint
dedication,S Cynwyd,Saint Cynwyd,abbreviation_expansion,2,Dove: Llangynwyd; Towers: Llangynwyd,S -> Saint
dedication,S Cyr & S Julitta,Saint Cyr and Saint Julitta,abbreviation_expansion,2,Dove: Newton St Cyres; Towers: Newton St Cyres,S -> Saint
dedication,S Cyriac & S Julitta,Saint Cyriac and Saint Julitta,abbreviation_expansion,2,Dove: Swaffham Prior; Towers: Swaffham Prior,S -> Saint
dedication,S Cyrus & S Julietta,Saint Cyrus and Saint Julietta,abbreviation_expansion,2,Dove: Luxulyan; Towers: Luxulyan,S -> Saint
dedication,S David & S Cyfelach,Saint David and Saint Cyfelach,abbreviation_expansion,2,Dove: Llangyfelach; Towers: Llangyfelach,S -> Saint
dedication,S Decuman,Saint Decuman,abbreviation_expansion,2,Dove: St Decuman's; Towers: St Decuman's,S -> Saint
dedication,S Deinst,Saint Deinst,abbreviation_expansion,2,Dove: Llangarron; Towers: Llangarron,S -> Saint
dedication,S Dionysius,Saint Dionysius,abbreviation_expansion,2,Dove: Market Harborough; Towers: Market Harborough,S -> Saint
dedication,S Disen,Saint Disen,abbreviation_expansion,2,Dove: Bradninch; Towers: Bradninch,S -> Saint
dedication,S Dominica,Saint Dominica,abbreviation_expansion,2,Dove: St Dominick; Towers: St Dominick,S -> Saint
dedication,S Donard,Saint Donard,abbreviation_expansion,2,Dove: Belfast; Towers: Belfast,S -> Saint
dedication,S Dunawd,Saint Dunawd,abbreviation_expansion,2,Dove: Bangor on Dee; Towers: Bangor on Dee,S -> Saint
dedication,S Dunstan & All Saints,Saint Dunstan and All Saints,abbreviation_expansion,2,Dove: Stepney; Towers: Stepney,S -> Saint
dedication,S Dunstan-in-the-West,Saint Dunstan-in-the-West,abbreviation_expansion,2,Dove: London; Towers: London,S -> Saint
dedication,S Dyfan & S Teilo,Saint Dyfan and Saint Teilo,abbreviation_expansion,2,Dove: Merthyr Dyfan; Towers: Merthyr Dyfan,S -> Saint
dedication,S Eanswith,Saint Eanswith,abbreviation_expansion,2,Dove: Brenzett; Towers: Brenzett,S -> Saint
dedication,S Eata,Saint Eata,abbreviation_expansion,2,Dove: Atcham; Towers: Atcham,S -> Saint
dedication,S Ebba,Saint Ebba,abbreviation_expansion,2,Towers: Beadnell; Towers: Ebchester,S -> Saint
dedication,S Ebbe,Saint Ebbe,abbreviation_expansion,2,Dove: Oxford; Towers: Oxford,S -> Saint
dedication,S Ecgwyn,Saint Ecgwyn,abbreviation_expansion,2,Dove: Church Honeybourne; Towers: Church Honeybourne,S -> Saint
dedication,S Edburg,Saint Edburg,abbreviation_expansion,2,Dove: Bicester; Towers: Bicester,S -> Saint
dedication,S Edburga,Saint Edburga,abbreviation_expansion,2,Dove: Leigh; Towers: Leigh,S -> Saint
dedication,S Edburgha,Saint Edburgha,abbreviation_expansion,2,Dove: Yardley; Towers: Yardley,S -> Saint
dedication,S Edeyrn,Saint Edeyrn,abbreviation_expansion,2,Dove: Llanedeyrn; Towers: Llanedeyrn,S -> Saint
dedication,S Edith of Polesworth,Saint Edith of Polesworth,abbreviation_expansion,2,Dove: Orton on the Hill; Towers: Orton on the Hill,S -> Saint
dedication,S Edmund & S Mary,Saint Edmund and Saint Mary,abbreviation_expansion,2,Dove: Ingatestone; Towers: Ingatestone,S -> Saint
dedication,S Edmund K&M & S James,Saint Edmund King and Martyr and Saint James,abbreviation_expansion,2,Dove: Blunham; Towers: Blunham,Qualifier expanded: \bK&M\b -> King and Martyr; S -> Saint
