perf_id,position,flag_type,bell,flag_text
1083655,0,new-method,,
1116288,0,first-peal,1,
1116288,1,first-peal,6,
1075220,0,simulated-sound,,
1046688,0,new-method,,
1076737,0,first-peal,1,
1079528,0,new-method,,
1105546,0,simulated-sound,,
1930325,0,first-quarter,6,
1748032,0,first-quarter,1,
272359,0,jump-changes,,
971911,0,first-quarter,1,
431699,0,new-method,,
1208308,0,first-peal,1,
1065324,0,first-peal,2,
1089529,0,first-peal,2,
1146948,0,new-method,,
1068776,0,first-peal,1,
1079522,0,record-length,,
1045107,0,new-method,,
274320,0,new-method,,
1063024,0,first-peal,1,
1133016,0,first-quarter,8,
1107043,0,first-peal,1,
1049847,0,simulated-sound,,
1054417,0,new-method,,
1147961,0,new-method,,
284707,0,new-method,,
1149200,0,first-peal,4,
1055039,0,first-peal,5,
405133,0,first-peal,6,
1712790,0,first-quarter,1,
1093332,0,simulated-sound,,
1713090,0,first-quarter,1,
1107037,0,simulated-sound,,
1126148,0,simulated-sound,,
1101037,0,simulated-sound,,
1075987,0,first-quarter,2,
1699476,0,first-quarter,6,
1099295,0,new-method,,
282627,0,first-peal,2,
282136,0,new-method,,
1149579,0,first-peal,4,
289047,0,first-quarter,1,
1086935,0,simulated-sound,,
1079888,0,simulated-sound,,
1045254,0,simulated-sound,,
1145280,0,simulated-sound,,
1136972,0,simulated-sound,,
1083036,0,simulated-sound,,
1138628,0,simulated-sound,,
1712786,0,first-quarter,1,
1585109,0,first-peal,3,
1062059,0,first-peal,1,
1062059,1,first-peal,4,
1058111,0,first-peal,1,
1114232,0,first-peal,1,
1062789,0,simulated-sound,,
1117397,0,simulated-sound,,
1952650,0,first-quarter,6,
405888,0,false,,See letter RW from George Campling (projected first issue of 2023).
1901699,0,new-method,,
1077386,0,first-peal,6,
1893567,0,first-quarter,1,
1892951,0,first-quarter,1,
1105536,0,simulated-sound,,
1605347,0,first-quarter,1,
292154,0,record-length,,
405886,0,first-peal,1,
405886,1,first-peal,3,
1142285,0,simulated-sound,,
432401,0,new-method,,
1782547,0,first-peal,1,
1074183,0,record-length,,
290408,0,new-method,,
1066950,0,first-peal,1,
289993,0,first-peal,1,
289993,1,first-peal,8,
405709,0,new-method,,
290084,0,first-peal,1,
1137741,0,first-peal,8,
1142617,0,simulated-sound,,
1147950,0,first-peal,2,
1093306,0,first-peal,4,
1093306,1,first-peal,6,
296625,0,non-compliant,,
296625,1,non-round-block,,
295614,0,new-method,,
295577,0,first-peal,2,
295577,1,first-peal,5,
1120644,0,simulated-sound,,
1072705,0,simulated-sound,,
1134751,0,simulated-sound,,
1712781,0,first-quarter,1,
1137732,0,new-method,,
1151039,0,new-method,,
300784,0,new-method,,
300429,0,new-method,,
442318,0,new-method,,
1712776,0,first-quarter,6,
299162,0,automated-ringing,,
299162,1,simulated-sound,,
1095151,0,simulated-sound,,
432612,0,new-method,,
297620,0,new-method,,
1582735,0,first-peal,1,
1582735,1,first-peal,2,
1582735,2,first-peal,4,
1582735,3,first-peal,5,
1138980,0,first-peal,2,
1138980,1,first-peal,4,
1119216,0,first-peal,5,
1108613,0,simulated-sound,,
303559,0,first-quarter,4,
1139243,0,first-quarter,1,
302955,0,first-peal,4,
1083314,0,first-peal,1,
1698948,0,false,,Extra block of 120 rung midway as an omit was bobbed.
1110100,0,new-method,,
432753,0,simulated-sound,,
412866,0,first-peal,1,
308487,0,first-peal,3,
308294,0,first-peal,3,
308294,1,first-peal,5,
1139640,0,new-method,,
1141861,0,first-quarter,1,
1106166,0,first-quarter,1,
1154497,0,first-quarter,1,
1083608,0,first-peal,2,
1083608,1,first-peal,4,
432884,0,new-method,,
1106848,0,first-peal,6,
1067200,0,record-length,,
432852,0,new-method,,
313203,0,first-peal,1,
313203,1,first-peal,3,
1081326,0,first-quarter,1,
1118907,0,new-method,,
1141853,0,first-peal,1,
1141853,1,first-peal,6,
1112132,0,first-peal,2,
1124548,0,first-quarter,1,
1124548,1,first-quarter,6,
1981372,0,simulated-sound,,
310932,0,new-method,,
1080199,0,first-quarter,1,
1080199,1,first-quarter,6,
1120633,0,first-peal,4,
1081860,0,simulated-sound,,
1080492,0,first-quarter,1,
1083973,0,simulated-sound,,
1053706,0,first-quarter,6,
1069088,0,first-peal,2,
316753,0,first-quarter,1,
316860,0,record-length,,
407135,0,first-peal,1,
1048221,0,first-peal,6,
315771,0,first-peal,1,
1053810,0,first-peal,8,
1141527,0,first-peal,2,
1073535,0,new-method,,
1129605,0,first-quarter,1,
1148300,0,first-peal,6,
444696,0,new-method,,
1117382,0,simulated-sound,,
1154519,0,first-quarter,6,
