perf_id,position,flag_type,bell,flag_text
1125821,0,simulated-sound,,
1116128,0,simulated-sound,,
120682,0,simulated-sound,,
394064,0,first-peal,6,
394062,0,new-method,,
394063,0,first-peal,1,
120668,0,first-peal,1,
1088531,0,simulated-sound,,
122289,0,new-method,,
119659,0,first-peal,3,
119749,0,first-peal,2,
442957,0,simulated-sound,,
119771,0,jump-changes,,
122231,0,new-method,,
117315,0,record-length,,Longest length in the method.
117330,0,new-method,,
117306,0,first-peal,2,
397222,0,false,,"False, ref private correspondence from Roger Bailey to band (Oliver Cross)."
424416,0,new-method,,
396362,0,first-peal,1,
1961105,0,first-quarter,1,
122996,0,first-peal,8,
123176,0,first-peal,4,
394130,0,first-peal,1,
394130,1,first-peal,2,
394130,2,first-peal,3,
394130,3,first-peal,4,
394130,4,first-peal,6,
1113983,0,simulated-sound,,
1112637,0,simulated-sound,,
122584,0,simulated-sound,,
122588,0,first-quarter,1,
122535,0,first-peal,2,
1132205,0,simulated-sound,,
121017,0,first-peal,2,
124396,0,first-peal,3,
124396,1,first-peal,5,
1724845,0,first-peal,8,
132147,0,simulated-sound,,
131898,0,simulated-sound,,
1081674,0,first-peal,1,
1081674,1,first-peal,3,
1081674,2,first-peal,4,
1081674,3,first-peal,6,
124280,0,first-peal,7,
132194,0,new-method,,
1091830,0,simulated-sound,,
132176,0,new-method,,
1146999,0,automated-ringing,,
1146999,1,simulated-sound,,
123737,0,new-method,,
1065121,0,simulated-sound,,
123568,0,simulated-sound,,
123549,0,simulated-sound,,
377673,0,first-peal,1,
396431,0,simulated-sound,,
133401,0,simulated-sound,,
1074434,0,simulated-sound,,
1151337,0,first-quarter,1,
1401696,0,first-peal,5,
442992,0,first-quarter,6,
396412,0,first-peal,6,
133970,0,first-peal,8,
396394,0,new-method,,
1885081,0,first-quarter,6,
132515,0,first-peal,1,
1054265,0,new-method,,
134795,0,simulated-sound,,
377721,0,first-peal,2,
134755,0,first-peal,2,
377707,0,first-peal,3,
1085057,0,simulated-sound,,
1053838,0,new-method,,
396549,0,first-quarter,1,
1090701,0,simulated-sound,,
441063,0,first-peal,4,
134117,0,new-method,,
1401490,0,record-length,,Longest length in the method.
133775,0,new-method,,
133762,0,simulated-sound,,
133883,0,first-quarter,1,
1149723,0,first-peal,1,
1968062,0,first-quarter,1,
1968062,1,first-quarter,6,
1055641,0,simulated-sound,,
1208495,0,new-method,,
1148204,0,first-peal,1,
1085656,0,new-method,,
1115622,0,new-method,,
1131385,0,simulated-sound,,
143486,0,non-compliant,,Notice and umpire requirements not complied with. It was published as a non-compliant peal.
143428,0,non-compliant,,Notice and umpire requirements not complied with. It was published as a non-compliant peal.
143706,0,simulated-sound,,
1133459,0,new-method,,
424701,0,false,,
1601352,0,first-quarter,6,
1601352,1,first-quarter,7,
135819,0,first-peal,8,
396687,0,first-peal,4,
396631,0,first-peal,1,
135351,0,first-peal,5,
135396,0,first-quarter,1,
1096312,0,first-peal,1,
1584983,0,simulated-sound,,Performed on a ring of dumb bells.
135174,0,first-peal,1,
135707,0,first-peal,4,
182148,0,first-peal,2,
396704,0,first-peal,1,
396704,1,first-peal,6,
396668,0,first-peal,1,
396668,1,first-peal,4,
135691,0,first-peal,1,
135149,0,first-peal,3,
134869,0,first-peal,8,
1112942,0,simulated-sound,,
1049428,0,record-length,,Longest length in the method.
1092477,0,first-quarter,6,
1140204,0,automated-ringing,1,Mabel
1140204,1,simulated-sound,,
1054125,0,first-quarter,1,
1110751,0,simulated-sound,,
1712802,0,first-quarter,1,
1148110,0,new-method,,
1053244,0,simulated-sound,,
1718309,0,first-quarter,6,
409032,0,new-method,,
1098410,0,simulated-sound,,
1082520,0,first-quarter,3,
1129679,0,first-quarter,1,
1119280,0,simulated-sound,,
1049546,0,simulated-sound,,
1050406,0,new-method,,
182664,0,first-peal,8,
1100281,0,new-method,,
1117042,0,simulated-sound,,
1959796,0,first-quarter,6,
1839858,0,first-quarter,2,
1075833,0,first-quarter,6,
1056419,0,first-peal,6,
184984,0,first-quarter,6,
1119644,0,first-quarter,1,
1045262,0,first-quarter,1,
1076005,0,first-quarter,1,
184795,0,first-peal,1,
1151450,0,first-quarter,1,
1148361,0,first-quarter,4,
1149771,0,first-quarter,1,
1149771,1,first-quarter,6,
184573,0,first-quarter,1,
185362,0,first-quarter,5,
185362,1,first-quarter,6,
412201,0,first-quarter,3,
1583115,0,first-quarter,1,
1130708,0,first-quarter,1,
398617,0,first-quarter,1,
1119270,0,first-quarter,1,
1148292,0,first-peal,1,
1143936,0,first-quarter,1,
1060790,0,first-quarter,1,
1090326,0,first-quarter,6,
183824,0,first-quarter,6,
461838,0,first-quarter,3,
1098388,0,first-peal,6,
1095501,0,first-quarter,1,
1095501,1,first-quarter,6,
1052663,0,first-quarter,1,
1050004,0,first-quarter,1,
1050004,1,first-quarter,6,
183377,0,first-quarter,6,
183442,0,first-quarter,1,
183261,0,first-quarter,1,
1083065,0,first-quarter,1,
183031,0,first-quarter,6,
1068537,0,new-method,,
1149013,0,simulated-sound,,
1069127,0,first-quarter,6,
1109792,0,first-peal,3,
1069742,0,first-quarter,6,
1151474,0,first-quarter,1,
1151474,1,first-quarter,6,
187014,0,new-method,,
1085041,0,first-peal,2,
1114276,0,simulated-sound,,
1122399,0,first-quarter,1,
443049,0,first-quarter,1,
1269307,0,first-quarter,6,
443147,0,first-quarter,1,
1670834,0,simulated-sound,,
1048719,0,first-quarter,4,
1089277,0,first-peal,6,
177735,0,new-method,,
398884,0,first-quarter,1,
1071164,0,first-quarter,1,
1143929,0,simulated-sound,,
1120857,0,first-quarter,6,
1139008,0,simulated-sound,,
1109785,0,first-peal,1,
440539,0,first-quarter,1,
1138665,0,first-quarter,6,
191897,0,first-quarter,4,
188712,0,first-quarter,1,
1052795,0,first-quarter,1,
1095177,0,first-quarter,8,
1131776,0,simulated-sound,,
1131776,1,first-quarter,6,
1706328,0,first-quarter,1,
1706328,1,first-quarter,4,
411260,0,first-quarter,6,
1147572,0,first-quarter,1,
1046130,0,first-quarter,5,
1099070,0,first-quarter,1,
1143450,0,first-peal,4,
1112591,0,first-quarter,1,
413141,0,first-quarter,6,
1119272,0,first-quarter,8,
1047814,0,first-quarter,6,
1070098,0,first-quarter,1,
1070098,1,first-quarter,2,
1920269,0,first-quarter,1,
1101645,0,first-quarter,1,
1105567,0,first-quarter,6,
1107380,0,first-quarter,1,
1140196,0,first-quarter,6,
398796,0,first-quarter,1,
1066128,0,first-quarter,1,
1127827,0,first-quarter,4,
1065183,0,first-quarter,6,
1071166,0,first-quarter,6,
1583713,0,first-quarter,3,
1584108,0,first-quarter,6,
1065579,0,first-quarter,6,
1044727,0,first-quarter,1,
187821,0,first-quarter,6,
1053237,0,first-peal,1,
1053237,1,first-peal,3,
1053237,2,first-peal,6,
1116495,0,false,,
1127033,0,first-quarter,8,
1138055,0,first-quarter,1,
1147946,0,new-method,,
1113620,0,first-quarter,1,
1121899,0,first-quarter,1,
379241,0,first-quarter,1,
1091401,0,first-quarter,6,
383691,0,first-quarter,1,
1055400,0,first-quarter,6,
272876,0,first-quarter,6,
1584101,0,first-quarter,6,
187007,0,first-peal,1,
187007,1,first-peal,3,
187007,2,first-peal,10,
1144505,0,first-quarter,1,
1103285,0,first-quarter,1,
1055401,0,first-quarter,2,
186400,0,record-length,,Longest length in the method in hand.
1130703,0,first-peal,1,
1065584,0,simulated-sound,,
379261,0,first-quarter,6,
1143078,0,first-peal,1,
1115876,0,first-quarter,1,
1105265,0,first-quarter,1,
1077416,0,first-quarter,1,
185856,0,first-quarter,1,
1078226,0,first-peal,3,
1078226,1,first-peal,8,
1126602,0,first-quarter,2,
1632868,0,first-quarter,1,
1055226,0,first-peal,2,
1136305,0,first-quarter,6,
1090328,0,first-quarter,1,
185437,0,first-quarter,1,
1111814,0,first-quarter,5,
1149789,0,first-quarter,8,
1060644,0,first-peal,1,
1060644,1,first-peal,2,
1104087,0,first-quarter,6,
412218,0,first-quarter,1,
443152,0,first-quarter,2,
1130690,0,first-quarter,4,
1079262,0,first-quarter,6,
1052283,0,first-quarter,2,
194230,0,first-quarter,3,
1150558,0,first-quarter,8,
1149785,0,first-quarter,1,
1123079,0,first-quarter,4,
1143914,0,first-quarter,1,
192662,0,first-quarter,1,
1150393,0,first-peal,2,
1112589,0,first-peal,4,
195875,0,first-quarter,1,
1054011,0,first-quarter,1,
1149575,0,new-method,,
1090311,0,first-quarter,6,
1126174,0,first-quarter,6,
1852598,0,first-quarter,6,
192264,0,first-quarter,1,
1074925,0,first-quarter,6,
1060464,0,first-quarter,1,
1596182,0,first-quarter,6,
1054902,0,first-peal,2,
1131767,0,first-quarter,1,
1072342,0,first-peal,1,
1137364,0,first-peal,1,
1148055,0,first-quarter,2,
1086509,0,first-quarter,6,
990162,0,first-peal,2,
990162,1,first-peal,5,
1074204,0,first-quarter,1,
191199,0,first-quarter,1,
1905551,0,first-quarter,1,
1145595,0,first-quarter,6,
1079921,0,first-quarter,6,
1133438,0,first-quarter,1,
1723210,0,first-quarter,1,
443149,0,first-quarter,1,
1143446,0,first-quarter,1,
1101646,0,first-quarter,6,
1062810,0,first-peal,1,
1060291,0,first-peal,4,
1382431,0,first-quarter,6,
190323,0,first-quarter,1,
1108881,0,new-method,,
190234,0,first-quarter,1,
1118686,0,first-quarter,1,
1143453,0,new-method,,
1069235,0,simulated-sound,,
1068534,0,new-method,,
189833,0,first-quarter,1,
1132156,0,first-quarter,1,
1132156,1,first-quarter,5,
1063042,0,simulated-sound,,
439089,0,first-quarter,6,
1125366,0,first-quarter,1,
1583870,0,first-quarter,3,
1584764,0,first-quarter,6,
1130700,0,first-quarter,1,
1075589,0,first-quarter,1,
1075589,1,first-quarter,8,
1100577,0,first-quarter,1,
1129674,0,first-quarter,4,
470033,0,first-quarter,1,
189444,0,first-quarter,1,
189444,1,first-quarter,6,
1896321,0,first-quarter,1,
997086,0,new-method,,
1147849,0,first-quarter,1,
1149362,0,first-quarter,6,
1145593,0,first-quarter,1,
1134775,0,simulated-sound,,
1100829,0,first-quarter,1,
1130012,0,simulated-sound,,
1092880,0,first-peal,3,
218842,0,first-quarter,6,
218806,0,first-quarter,6,
1449524,0,first-peal,1,
399378,0,first-peal,1,
275203,0,first-quarter,1,
1134765,0,first-quarter,1,
218845,0,first-quarter,6,
218844,0,first-quarter,6,
1051435,0,first-quarter,1,
1143911,0,record-length,,
218032,0,first-peal,1,
218032,1,first-peal,3,
271272,0,first-quarter,6,
1058127,0,first-quarter,6,
1096663,0,first-peal,1,
1096663,1,first-peal,6,
1584106,0,first-quarter,6,
1068775,0,first-quarter,6,
207354,0,first-peal,3,
1895465,0,new-method,,
1112925,0,first-peal,2,
1127021,0,first-quarter,1,
1127021,1,first-quarter,6,
208878,0,first-quarter,6,
1129267,0,first-quarter,4,
1090667,0,first-quarter,1,
1068773,0,first-quarter,1,
1047380,0,first-quarter,1,
199455,0,first-quarter,1,
1076478,0,first-quarter,6,
1056558,0,first-quarter,1,
1063037,0,first-quarter,6,
198313,0,first-quarter,1,
1121128,0,first-quarter,2,
1110591,0,first-quarter,6,
1123416,0,first-quarter,6,
207567,0,first-quarter,1,
426440,0,first-peal,3,
1088184,0,first-quarter,1,
198090,0,first-peal,3,
218883,0,first-quarter,1,
199309,0,first-quarter,1,
218885,0,first-quarter,1,
1103546,0,first-quarter,1,
1142657,0,first-quarter,6,
1142301,0,new-method,,
1088926,0,first-peal,1,
218920,0,first-quarter,6,
1121891,0,first-quarter,6,
1150239,0,first-quarter,1,
1086713,0,first-quarter,1,
1583617,0,first-peal,8,
1058502,0,first-quarter,6,
1082096,0,first-peal,5,
1583547,0,first-quarter,1,
196774,0,first-peal,1,
1585346,0,first-peal,2,
1262460,0,first-peal,1,
1262460,1,first-peal,2,
1584903,0,first-quarter,6,
1082290,0,first-quarter,1,
1082290,1,first-quarter,6,
1131006,0,new-method,,
1095777,0,first-quarter,6,
290929,0,first-peal,1,
290929,1,first-peal,2,
290929,2,first-peal,3,
290929,3,first-peal,4,
290929,4,first-peal,5,
290929,5,first-peal,6,
1075591,0,new-method,,
1062806,0,first-quarter,1,
1111191,0,first-quarter,1,
196405,0,simulated-sound,,
1053830,0,first-quarter,1,
1075229,0,first-quarter,6,
1060633,0,first-quarter,1,
1689672,0,first-peal,6,
1085362,0,first-quarter,6,
1752958,0,first-quarter,6,
1110389,0,first-quarter,6,
195693,0,first-quarter,1,
1699870,0,first-peal,8,
276802,0,first-quarter,1,
1583331,0,first-quarter,1,
1047811,0,new-method,,
195575,0,new-method,,
195504,0,first-quarter,6,
443142,0,first-quarter,6,
1137758,0,first-quarter,6,
1045256,0,first-peal,3,
1057639,0,first-quarter,6,
1081068,0,first-quarter,5,
404708,0,first-quarter,6,
1145948,0,first-quarter,1,
1050704,0,first-quarter,6,
1074927,0,first-peal,1,
194959,0,first-quarter,1,
1072049,0,first-quarter,1,
1151354,0,first-quarter,1,
194929,0,first-quarter,1,
1585573,0,first-quarter,6,
439117,0,first-quarter,1,
1148021,0,first-quarter,1,
273469,0,first-quarter,1,
194984,0,first-quarter,8,
1130896,0,first-quarter,6,
1089537,0,first-quarter,1,
1151350,0,first-peal,1,
1103032,0,first-quarter,1,
