perf_id,position,flag_type,bell,flag_text
1697711,0,first-quarter,6,
1695360,0,simulated-sound,,Performed on a virtual ringing platform.
1694867,0,simulated-sound,,Performed on a virtual ringing platform.
1694407,0,first-quarter,1,
1695161,0,simulated-sound,,Performed on a virtual ringing platform.
1694605,0,simulated-sound,,Performed on a virtual ringing platform.
1694581,0,simulated-sound,,Performed on a virtual ringing platform.
1694298,0,first-quarter,6,
1708960,0,first-quarter,1,
1697747,0,simulated-sound,,Performed on a virtual ringing platform.
1694179,0,simulated-sound,,Performed on a virtual ringing platform.
1694208,0,first-quarter,1,
1694208,1,first-quarter,6,
1694374,0,first-quarter,6,
1803364,0,automated-ringing,1,Virtual Belfry
1803364,1,automated-ringing,2,Virtual Belfry
1803364,2,automated-ringing,3,Virtual Belfry
1803364,3,automated-ringing,4,Virtual Belfry
1803364,4,automated-ringing,5,Virtual Belfry
1803364,5,automated-ringing,6,Virtual Belfry
1803364,6,automated-ringing,7,Virtual Belfry
1803364,7,automated-ringing,8,Virtual Belfry
1803364,8,automated-ringing,9,Virtual Belfry
1803364,9,simulated-sound,,
1694077,0,simulated-sound,,Performed on a virtual ringing platform.
1693971,0,first-quarter,1,
1693864,0,first-quarter,6,
1693980,0,first-quarter,1,
1693780,0,first-quarter,6,
1693896,0,simulated-sound,,
1693594,0,simulated-sound,,
1870181,0,first-quarter,6,
1693739,0,simulated-sound,,Performed on a virtual ringing platform.
1693701,0,first-quarter,1,
1803363,0,automated-ringing,1,Virtual Belfry
1803363,1,automated-ringing,2,Virtual Belfry
1803363,2,automated-ringing,3,Virtual Belfry
1803363,3,automated-ringing,4,Virtual Belfry
1803363,4,automated-ringing,5,Virtual Belfry
1803363,5,automated-ringing,6,Virtual Belfry
1803363,6,automated-ringing,7,Virtual Belfry
1803363,7,simulated-sound,,
1693442,0,first-peal,1,
1693442,1,first-peal,2,
1693354,0,first-peal,1,
1693461,0,simulated-sound,,Performed on a virtual ringing platform.
1693381,0,simulated-sound,,Performed on a virtual ringing platform.
1693710,0,simulated-sound,,Performed on a virtual ringing platform.
1693409,0,first-peal,1,
1693187,0,automated-ringing,1,Abel
1693187,1,automated-ringing,2,Abel
1693187,2,automated-ringing,3,Abel
1693187,3,automated-ringing,4,Abel
1693187,4,automated-ringing,5,Abel
1693187,5,automated-ringing,6,Abel
1693187,6,automated-ringing,7,Abel
1693187,7,automated-ringing,8,Abel
1693187,8,automated-ringing,9,Abel
1693187,9,automated-ringing,10,Abel
1693187,10,simulated-sound,,
1693186,0,simulated-sound,,Performed on a virtual ringing platform.
1693117,0,simulated-sound,,Performed on a virtual ringing platform.
1693009,0,first-quarter,1,
1693326,0,first-quarter,6,
1693519,0,first-quarter,1,
1693519,1,first-quarter,6,
1693040,0,simulated-sound,,Performed on a virtual ringing platform.
1692961,0,simulated-sound,,Performed on a virtual ringing platform.
1692992,0,simulated-sound,,
1692763,0,first-quarter,1,
1692706,0,simulated-sound,,Performed on a virtual ringing platform.
1910498,0,first-quarter,1,
1692491,0,simulated-sound,,Performed on a ring of dumb bells.
1692506,0,automated-ringing,1,Abel
1692506,1,automated-ringing,2,Abel
1692506,2,automated-ringing,3,Abel
1692506,3,automated-ringing,4,Abel
1692506,4,automated-ringing,5,Abel
1692506,5,automated-ringing,6,Abel
1692506,6,automated-ringing,7,Abel
1692506,7,automated-ringing,8,Abel
1692506,8,automated-ringing,9,Abel
1692506,9,automated-ringing,10,Abel
1692506,10,simulated-sound,,
1692530,0,simulated-sound,,Performed on a virtual ringing platform.
1692527,0,simulated-sound,,Performed on a virtual ringing platform.
1692480,0,simulated-sound,,Performed on a virtual ringing platform.
1693225,0,simulated-sound,,
1803362,0,automated-ringing,1,Virtual Belfry
1803362,1,automated-ringing,2,Virtual Belfry
1803362,2,automated-ringing,3,Virtual Belfry
1803362,3,automated-ringing,4,Virtual Belfry
1803362,4,automated-ringing,5,Virtual Belfry
1803362,5,automated-ringing,6,Virtual Belfry
1803362,6,automated-ringing,7,Virtual Belfry
1803362,7,automated-ringing,8,Virtual Belfry
1803362,8,automated-ringing,10,Virtual Belfry
1803362,9,simulated-sound,,
1692163,0,simulated-sound,,
1692093,0,simulated-sound,,
1692081,0,simulated-sound,,Performed on a virtual ringing platform.
1691806,0,first-quarter,1,
1691955,0,simulated-sound,,Performed on a virtual ringing platform.
1697447,0,first-quarter,2,
1691911,0,first-quarter,6,
1691823,0,first-quarter,6,
1693312,0,first-peal,1,
1691670,0,simulated-sound,,
1691670,1,first-quarter,6,
1692291,0,first-quarter,1,
1691718,0,first-quarter,1,
