perf_id,position,footnote
394298,0,50th peal: 1.
124595,0,First peal of S Major in hand at first attempt: 7-8.
1102106,0,"Rung in celebration of R Malcolm Cook’s life, immediately after his Church Funeral Service."
1102106,1,Malcolm was Tower Captain at this Church.
1825242,0,In thanksgiving for the life of Graham Stevenson.
1825242,1,900th peal: 4.
393682,0,First variable hunt treble Cambridge S. Minor for all
120753,0,An 80th birthday compliment to Audrey Grover on 30.01.12
120750,0,First of minor: 2
424348,0,A birthday compliment to Victoria Talbott
1125821,0,First blows in method: 2
1125821,1,First in method: 5
1973060,0,First peal: 8.
1973060,1,400th peal together: 3 & 7.
1116128,0,First Inside - 5
1116128,1,Rung using Abel in G Sharp.
1089572,0,Rung on practice night.
1089572,1,60th quarter on the bells - 4.
1089572,2,80th quarter on the bells - 6.
120724,0,First blows in method - 5
1082541,0,"Congratulations To Tricia Cox, this was her 200th Quarter Peal"
1095210,0,1st in method 1-2
120843,0,First Grandsire Caters: 3 & 4
120843,1,Rung after service where the Reverend Rachel Shock was licensed as Workplace Chaplain.
1083071,0,Rung on the back 7
1083071,1,With the band's best wishes to Jan on her birthday
134504,0,First Surprise Major: 3 & 5.
1072374,0,Rung as a belated farewell to Andrew Paterson with best wishes from Rudby and Stokesley ringers.
435248,0,First in method: 3. Rung in memory of Don Fellows of Edwalton (who rang with this band on occasion) and Beryl Stanger of Stanford (a longstanding member of the congregation).
435248,1,The band wishes to note and express thanks for the contribution of Jonathan & Sarah Young to this band as they move to pastures new in Cornwall.
1142728,0,"Rung as a tribute to the life and works of Clive Legg who died on the 17th January 2012. Clive was a ringer at St George's Upper Cam for over fifty years. Clive normally rang Grandsire, hence the choice for this quarter."
1104807,0,Rung in Memory. Commander Michael Verner-Taylor. R.N. Retired. Thankgiving Service was on Fri 27th Jan 2012
1048114,0,First of minor for 3. Rung as part of the HCACR Western District celebrations for Diamond Jubilee Year.
1048114,1,Donation £3
424354,0,1250th quarter peal - 7
393680,0,1000th handbell peal: 5-6
1208140,0,4100th peal on towerbells: 9.
1712813,0,2: first Minor in method.
1124995,0,"This quarter-peal was rung for my new great nephew and also for the anniversary of my dad's funeral service, which took place a year tomorrow."
120697,0,1st in method for all
120698,0,First in method by all except treble (who rang in the first peal in the method).
