perf_id,position,flag_type,bell,flag_text
1211251,0,first-quarter,6,
1211011,0,first-quarter,6,
1211086,0,simulated-sound,,
1210880,0,first-quarter,6,
1210904,0,first-quarter,3,
1211009,0,first-quarter,1,
1210616,0,first-quarter,6,
1210578,0,first-peal,2,
1210315,0,first-peal,8,
1210487,0,new-method,,
1210219,0,first-quarter,1,
1210219,1,first-quarter,6,
1268007,0,first-quarter,1,
1210103,0,simulated-sound,,
1210102,0,simulated-sound,,
1210173,0,first-quarter,6,
1210127,0,new-method,,
1210100,0,first-quarter,6,
1210064,0,simulated-sound,,
1211155,0,first-quarter,1,
1209750,0,first-quarter,6,
1209795,0,first-quarter,6,
1209853,0,first-quarter,1,
1209792,0,first-peal,4,
1209512,0,first-quarter,1,
1209647,0,first-peal,1,
1964236,0,first-quarter,3,
1207623,0,first-quarter,8,
1207220,0,simulated-sound,,
1207130,0,first-quarter,1,
1207094,0,first-quarter,6,
1207068,0,first-quarter,8,
1213131,0,first-quarter,1,
1207079,0,first-quarter,6,
1206885,0,first-quarter,1,
1206942,0,first-peal,5,
1206791,0,new-method,,
1206662,0,new-method,,
1206469,0,first-quarter,1,
1206417,0,simulated-sound,,
1206200,0,first-quarter,1,
1206272,0,simulated-sound,,
1206271,0,simulated-sound,,
1206403,0,first-peal,6,
1206338,0,simulated-sound,,
1206120,0,new-method,,
1206058,0,first-quarter,1,
1206039,0,first-quarter,6,
1205698,0,first-quarter,6,
1205872,0,first-quarter,6,
1218685,0,first-quarter,1,
1218115,0,first-quarter,5,
1217825,0,first-quarter,3,
1217933,0,first-quarter,6,
1686173,0,first-quarter,1,
1217917,0,first-quarter,1,
1217924,0,first-quarter,6,
1217551,0,first-quarter,6,
1220803,0,first-quarter,1,
1218514,0,first-quarter,8,
1217958,0,first-quarter,6,
1218141,0,first-peal,8,
1217966,0,first-quarter,8,
1217323,0,first-peal,1,
1217171,0,first-quarter,6,
1218080,0,first-peal,1,
1964234,0,first-quarter,6,
1217293,0,first-quarter,6,
1217257,0,first-quarter,1,
1216768,0,first-quarter,6,
1217093,0,first-peal,3,
1217093,1,first-peal,6,
1217326,0,new-method,,
1216717,0,first-peal,2,
1216442,0,simulated-sound,,
1216441,0,simulated-sound,,
1216441,1,first-quarter,6,
1216435,0,simulated-sound,,
1216517,0,first-quarter,1,
1216517,1,first-quarter,2,
1216517,2,first-quarter,6,
1216295,0,first-quarter,6,
1215826,0,first-peal,6,
1215772,0,first-quarter,1,
1215772,1,first-quarter,2,
1215775,0,first-quarter,1,
1215874,0,first-quarter,3,
1483059,0,first-quarter,6,
1215843,0,first-quarter,1,
1215908,0,first-quarter,6,
1215409,0,first-quarter,6,
1215243,0,first-peal,1,
1214734,0,first-peal,1,
1214515,0,first-quarter,1,
1214810,0,first-peal,3,
1214320,0,first-peal,5,
1214497,0,first-peal,1,
1214511,0,first-quarter,2,
1214332,0,first-peal,2,
1214332,1,first-peal,4,
1263010,0,first-quarter,1,
1214757,0,first-quarter,1,
1214757,1,first-quarter,2,
1214120,0,first-peal,2,
1214104,0,first-quarter,1,
1214083,0,simulated-sound,,
1213853,0,first-quarter,6,
1213904,0,first-quarter,1,
1213903,0,first-peal,1,
1213921,0,first-peal,3,
1213703,0,first-quarter,8,
1213823,0,first-quarter,6,
1213475,0,first-peal,6,
1213484,0,first-peal,4,
1213513,0,first-quarter,1,
1834975,0,first-peal,1,
1213771,0,first-peal,1,
1213530,0,first-peal,1,
1213443,0,first-quarter,6,
1213514,0,first-quarter,1,
1213281,0,first-quarter,1,
1213247,0,first-quarter,6,
1377112,0,first-quarter,3,
1212939,0,first-quarter,6,
1217939,0,first-quarter,1,
1212596,0,first-quarter,3,
1212599,0,simulated-sound,,
1233760,0,first-quarter,6,
1212606,0,first-quarter,1,
1212606,1,first-quarter,2,
1212606,2,first-quarter,6,
1212429,0,first-quarter,6,
1212341,0,first-quarter,6,
1212636,0,simulated-sound,,
1212343,0,simulated-sound,,
1212376,0,first-quarter,1,
1212069,0,first-quarter,6,
1212089,0,first-quarter,1,
1920197,0,first-quarter,6,
1920196,0,first-quarter,6,
1212087,0,first-peal,3,
1212081,0,new-method,,
1212092,0,first-peal,1,
1212092,1,first-peal,4,
1212072,0,first-quarter,1,
1212559,0,first-quarter,1,
1260249,0,first-quarter,2,
1337207,0,automated-ringing,,
1337207,1,simulated-sound,,
1337207,2,first-quarter,7,
1337206,0,automated-ringing,,
1337206,1,simulated-sound,,
1224649,0,first-quarter,6,
1224432,0,simulated-sound,,
1224261,0,simulated-sound,,
1224038,0,first-peal,1,
1224000,0,simulated-sound,,
1223684,0,first-quarter,6,
1550962,0,first-quarter,1,
1223810,0,first-quarter,1,
1223805,0,first-quarter,6,
1223702,0,first-peal,8,
1223720,0,first-quarter,6,
1223550,0,new-method,,
1223548,0,first-quarter,1,
1223243,0,first-quarter,6,
1222956,0,first-quarter,1,
1222833,0,first-quarter,6,
1222887,0,first-quarter,6,
1222701,0,first-quarter,1,
1753060,0,first-quarter,6,
1223906,0,first-quarter,1,
1222580,0,first-quarter,6,
1222668,0,first-quarter,6,
1222669,0,first-quarter,6,
1633485,0,first-quarter,6,
1222549,0,first-quarter,6,
1222342,0,first-quarter,6,
1222343,0,first-quarter,1,
1222351,0,first-quarter,6,
1222231,0,simulated-sound,,
1222383,0,first-quarter,1,
1222263,0,first-quarter,2,
1221884,0,first-quarter,1,
1221884,1,first-quarter,6,
1221856,0,first-quarter,1,
1222128,0,first-quarter,1,
1222128,1,first-quarter,2,
1221846,0,first-quarter,6,
1221875,0,first-quarter,1,
1915133,0,first-peal,1,
1915133,1,first-peal,2,
1221015,0,first-quarter,6,
1220927,0,first-quarter,6,
1220737,0,first-quarter,1,
1220734,0,first-quarter,1,
1220752,0,first-quarter,6,
1220703,0,first-quarter,6,
1220727,0,first-peal,1,
1725156,0,first-quarter,6,
1221843,0,first-quarter,6,
1220540,0,first-quarter,1,
1223729,0,first-quarter,6,
1220360,0,simulated-sound,,
1219741,0,first-quarter,1,
1753056,0,first-quarter,1,
1219777,0,first-peal,1,
1219864,0,first-quarter,7,
1219864,1,first-quarter,8,
1219557,0,first-quarter,1,
1219442,0,new-method,,
1243703,0,first-peal,3,
1839691,0,first-quarter,1,
1229705,0,first-quarter,1,
1229640,0,first-quarter,6,
1229667,0,first-quarter,6,
1229526,0,first-quarter,1,
1229525,0,first-quarter,1,
1229507,0,first-quarter,1,
1229507,1,first-quarter,6,
1229634,0,first-peal,1,
1229634,1,first-peal,6,
1229543,0,first-peal,6,
1229585,0,first-peal,3,
1229491,0,first-peal,5,
1229435,0,first-quarter,6,
1264135,0,first-quarter,1,
1229324,0,new-method,,
1229290,0,first-quarter,2,
1229290,1,first-quarter,6,
1229178,0,simulated-sound,,
1229678,0,first-quarter,1,
1229195,0,first-quarter,6,
1228976,0,first-quarter,1,
1228889,0,first-quarter,6,
1228905,0,new-method,,
1229000,0,first-quarter,6,
1228683,0,first-quarter,6,
1229023,0,first-quarter,6,
1228359,0,first-quarter,6,
1228506,0,first-quarter,6,
1228430,0,first-quarter,1,
1228251,0,first-peal,3,
1228251,1,first-peal,4,
1228139,0,simulated-sound,,
1229988,0,first-quarter,6,
1228120,0,first-peal,1,
1228293,0,first-quarter,1,
1227804,0,first-peal,4,
1227569,0,first-quarter,6,
1227642,0,first-quarter,1,
1239717,0,simulated-sound,,
1227397,0,first-quarter,6,
1227362,0,first-quarter,1,
1829975,0,first-quarter,6,
1226833,0,first-quarter,1,
1226833,1,first-quarter,6,
1226705,0,automated-ringing,,
1226705,1,simulated-sound,,
1226682,0,first-quarter,6,
1226484,0,first-quarter,6,
