perf_id,position,flag_type,bell,flag_text
1592602,0,first-quarter,6,
1592338,0,simulated-sound,,Performed on a virtual ringing platform.
1592291,0,simulated-sound,,Performed on a virtual ringing platform.
1592246,0,simulated-sound,,Performed on a virtual ringing platform.
1592177,0,simulated-sound,,Performed on a virtual ringing platform.
1592378,0,automated-ringing,3,Wheatley
1592378,1,automated-ringing,4,Wheatley
1592378,2,simulated-sound,,Performed on a virtual ringing platform.
1592313,0,automated-ringing,3,Wheatley
1592313,1,automated-ringing,4,Wheatley
1592313,2,simulated-sound,,Performed on a virtual ringing platform.
1606150,0,simulated-sound,,
1592255,0,automated-ringing,1,Abel
1592255,1,automated-ringing,2,Abel
1592255,2,automated-ringing,3,Abel
1592255,3,automated-ringing,4,Abel
1592255,4,simulated-sound,,
1592146,0,simulated-sound,,Performed on a virtual ringing platform.
1592065,0,automated-ringing,1,Abel
1592065,1,automated-ringing,2,Abel
1592065,2,automated-ringing,3,Abel
1592065,3,automated-ringing,4,Abel
1592065,4,simulated-sound,,
1591940,0,first-quarter,1,
1591928,0,simulated-sound,,Performed on a virtual ringing platform.
1591922,0,simulated-sound,,Performed on a virtual ringing platform.
1591782,0,automated-ringing,3,Wheatley
1591782,1,automated-ringing,4,Wheatley
1591782,2,simulated-sound,,Performed on a virtual ringing platform.
1591942,0,first-quarter,1,
1591693,0,automated-ringing,1,Abel
1591693,1,automated-ringing,2,Abel
1591693,2,automated-ringing,3,Abel
1591693,3,automated-ringing,4,Abel
1591693,4,automated-ringing,5,Abel
1591693,5,automated-ringing,6,Abel
1591693,6,automated-ringing,7,Abel
1591693,7,automated-ringing,8,Abel
1591693,8,simulated-sound,,
1591572,0,automated-ringing,1,Abel
1591572,1,automated-ringing,2,Abel
1591572,2,automated-ringing,3,Abel
1591572,3,automated-ringing,4,Abel
1591572,4,automated-ringing,5,Abel
1591572,5,automated-ringing,6,Abel
1591572,6,simulated-sound,,
1592094,0,first-quarter,1,
1591108,0,new-method,,
1591211,0,simulated-sound,,
1591209,0,simulated-sound,,
1591176,0,automated-ringing,1,Abel
1591176,1,automated-ringing,2,Abel
1591176,2,automated-ringing,3,Abel
1591176,3,automated-ringing,4,Abel
1591176,4,automated-ringing,5,Abel
1591176,5,automated-ringing,6,Abel
1591176,6,automated-ringing,7,Abel
1591176,7,automated-ringing,8,Abel
1591176,8,simulated-sound,,
1591930,0,simulated-sound,,Performed on a virtual ringing platform.
1592141,0,first-peal,1,
1592141,1,first-peal,4,
1717058,0,simulated-sound,,
1590834,0,simulated-sound,,Performed on a virtual ringing platform.
1590773,0,automated-ringing,1,Abel
1590773,1,automated-ringing,2,Abel
1590773,2,automated-ringing,3,Abel
1590773,3,automated-ringing,4,Abel
1590773,4,automated-ringing,5,Abel
1590773,5,automated-ringing,6,Abel
1590773,6,simulated-sound,,
1907460,0,automated-ringing,1,Abel
1907460,1,automated-ringing,2,Abel
1907460,2,automated-ringing,3,Abel
1907460,3,automated-ringing,4,Abel
1907460,4,automated-ringing,7,Abel
1907460,5,automated-ringing,8,Abel
1907460,6,simulated-sound,,
1590518,0,automated-ringing,1,Abel
1590518,1,automated-ringing,2,Abel
1590518,2,automated-ringing,3,Abel
1590518,3,automated-ringing,4,Abel
1590518,4,automated-ringing,5,Abel
1590518,5,automated-ringing,6,Abel
1590518,6,automated-ringing,7,Abel
1590518,7,automated-ringing,8,Abel
1590518,8,automated-ringing,9,Abel
1590518,9,automated-ringing,10,Abel
1590518,10,automated-ringing,11,Abel
1590518,11,automated-ringing,12,Abel
1590518,12,simulated-sound,,
1590571,0,simulated-sound,,Performed on a virtual ringing platform.
1590437,0,simulated-sound,,Performed on a virtual ringing platform.
1590540,0,simulated-sound,,Performed on a virtual ringing platform.
1590519,0,simulated-sound,,Performed on a virtual ringing platform.
1590543,0,first-quarter,6,
1590564,0,automated-ringing,1,Abel
1590564,1,automated-ringing,2,Abel
1590564,2,automated-ringing,3,Abel
1590564,3,automated-ringing,4,Abel
1590564,4,automated-ringing,5,Abel
1590564,5,automated-ringing,6,Abel
1590564,6,simulated-sound,,
1590487,0,automated-ringing,1,Abel
1590487,1,automated-ringing,2,Abel
1590487,2,automated-ringing,3,Abel
1590487,3,automated-ringing,4,Abel
1590487,4,automated-ringing,5,Abel
1590487,5,automated-ringing,6,Abel
1590487,6,simulated-sound,,
1590304,0,simulated-sound,,Performed on a virtual ringing platform.
1590289,0,first-quarter,6,
1590131,0,simulated-sound,,Performed on a virtual ringing platform.
1590074,0,simulated-sound,,Performed on a virtual ringing platform.
1590081,0,simulated-sound,,Performed on a virtual ringing platform.
1590063,0,automated-ringing,1,Abel
1590063,1,automated-ringing,2,Abel
1590063,2,automated-ringing,3,Abel
1590063,3,automated-ringing,4,Abel
1590063,4,simulated-sound,,
1589760,0,simulated-sound,,Performed on a ring of dumb bells.
1589716,0,automated-ringing,1,Abel
1589716,1,automated-ringing,2,Abel
1589716,2,automated-ringing,3,Abel
1589716,3,automated-ringing,4,Abel
1589716,4,automated-ringing,5,Abel
1589716,5,automated-ringing,6,Abel
1589716,6,simulated-sound,,
1589819,0,simulated-sound,,Performed on a virtual ringing platform.
1589713,0,simulated-sound,,Rung on a peal of Saxilby simulators with Abel providing the sound
1589614,0,automated-ringing,1,Abel
1589614,1,automated-ringing,2,Abel
1589614,2,automated-ringing,3,Abel
1589614,3,automated-ringing,4,Abel
1589614,4,simulated-sound,,
1803353,0,automated-ringing,1,Abel
1803353,1,automated-ringing,2,Abel
1803353,2,automated-ringing,3,Abel
1803353,3,automated-ringing,4,Abel
1803353,4,automated-ringing,5,Abel
1803353,5,automated-ringing,6,Abel
1803353,6,automated-ringing,8,Abel
1803353,7,simulated-sound,,
1589170,0,first-quarter,6,
1589165,0,first-quarter,2,
1589266,0,first-quarter,6,
1589316,0,simulated-sound,,Performed on a virtual ringing platform.
1589332,0,simulated-sound,,Performed on a virtual ringing platform.
1786160,0,first-quarter,1,
1786160,1,first-quarter,6,
1589265,0,first-quarter,1,
1591884,0,first-quarter,1,
1594584,0,first-quarter,1,
1589139,0,first-quarter,6,
1589013,0,automated-ringing,1,Abel
1589013,1,automated-ringing,2,Abel
1589013,2,automated-ringing,3,Abel
1589013,3,automated-ringing,4,Abel
1589013,4,simulated-sound,,
1599369,0,first-quarter,1,
1599369,1,first-quarter,2,
1588696,0,first-peal,2,
1588971,0,first-peal,1,
1588881,0,simulated-sound,,Performed on a virtual ringing platform.
1588734,0,automated-ringing,1,Abel
1588734,1,automated-ringing,2,Abel
1588734,2,automated-ringing,3,Abel
1588734,3,automated-ringing,4,Abel
1588734,4,simulated-sound,,
1588705,0,automated-ringing,1,Abel
1588705,1,automated-ringing,2,Abel
1588705,2,automated-ringing,3,Abel
1588705,3,automated-ringing,4,Abel
1588705,4,automated-ringing,5,Abel
1588705,5,automated-ringing,6,Abel
1588705,6,simulated-sound,,
1588856,0,first-peal,1,
1803352,0,automated-ringing,1,Abel
1803352,1,automated-ringing,2,Abel
1803352,2,automated-ringing,3,Abel
1803352,3,automated-ringing,4,Abel
1803352,4,automated-ringing,5,Abel
1803352,5,automated-ringing,6,Abel
1803352,6,automated-ringing,7,Abel
1803352,7,automated-ringing,8,Abel
1803352,8,automated-ringing,9,Abel
1803352,9,simulated-sound,,
1628833,0,simulated-sound,,
1588467,0,first-quarter,6,
1588415,0,automated-ringing,1,Abel
1588415,1,automated-ringing,2,Abel
1588415,2,automated-ringing,3,Abel
1588415,3,automated-ringing,4,Abel
1588415,4,automated-ringing,5,Abel
1588415,5,automated-ringing,6,Abel
1588415,6,automated-ringing,7,Abel
1588415,7,automated-ringing,8,Abel
1588415,8,automated-ringing,9,Abel
1588415,9,automated-ringing,10,Abel
1588415,10,simulated-sound,,
1588435,0,simulated-sound,,Performed on a virtual ringing platform.
1588521,0,simulated-sound,,Performed on a virtual ringing platform.
1588475,0,simulated-sound,,Performed on a virtual ringing platform.
1588454,0,simulated-sound,,Performed on a virtual ringing platform.
1588366,0,automated-ringing,1,Abel
1588366,1,automated-ringing,2,Abel
1588366,2,automated-ringing,3,Abel
1588366,3,automated-ringing,4,Abel
1588366,4,automated-ringing,5,Abel
1588366,5,automated-ringing,6,Abel
1588366,6,simulated-sound,,
1803351,0,automated-ringing,1,Abel
1803351,1,automated-ringing,2,Abel
1803351,2,automated-ringing,3,Abel
1803351,3,automated-ringing,4,Abel
1803351,4,automated-ringing,5,Abel
1803351,5,automated-ringing,6,Abel
1803351,6,automated-ringing,7,Abel
1803351,7,simulated-sound,,
1587823,0,automated-ringing,1,Abel
1587823,1,automated-ringing,2,Abel
1587823,2,automated-ringing,3,Abel
1587823,3,automated-ringing,4,Abel
1587823,4,automated-ringing,5,Abel
1587823,5,automated-ringing,6,Abel
1587823,6,automated-ringing,7,Abel
1587823,7,automated-ringing,8,Abel
1587823,8,simulated-sound,,
1587703,0,simulated-sound,,Performed on a virtual ringing platform.
1587846,0,simulated-sound,,Performed on a virtual ringing platform.
1588110,0,first-peal,1,
1588110,1,first-peal,4,
1587739,0,automated-ringing,1,Abel
1587739,1,automated-ringing,2,Abel
1587739,2,automated-ringing,3,Abel
1587739,3,automated-ringing,4,Abel
1587739,4,automated-ringing,5,Abel
1587739,5,automated-ringing,6,Abel
1587739,6,simulated-sound,,
1587332,0,new-method,,
1587449,0,simulated-sound,,Performed on a virtual ringing platform.
1587446,0,simulated-sound,,Performed on a virtual ringing platform.
1587397,0,simulated-sound,,Performed on a virtual ringing platform.
1587393,0,automated-ringing,1,Abel
1587393,1,automated-ringing,2,Abel
1587393,2,automated-ringing,3,Abel
1587393,3,automated-ringing,4,Abel
1587393,4,automated-ringing,5,Abel
1587393,5,automated-ringing,6,Abel
1587393,6,simulated-sound,,
1587134,0,first-quarter,6,
1586962,0,simulated-sound,,Performed on a virtual ringing platform.
1582664,0,simulated-sound,,Performed on a virtual ringing platform.
1587055,0,first-quarter,1,
1587797,0,simulated-sound,,
1586954,0,automated-ringing,1,Abel
1586954,1,automated-ringing,2,Abel
1586954,2,automated-ringing,3,Abel
