perf_id,position,flag_type,bell,flag_text
1323910,0,new-method,,
1323692,0,first-quarter,6,
1324774,0,simulated-sound,,
1323929,0,simulated-sound,,
1323624,0,first-quarter,1,
1326844,0,first-quarter,1,
1323623,0,first-quarter,1,
1460795,0,first-quarter,6,
1323628,0,simulated-sound,,
1323390,0,simulated-sound,,
1323382,0,simulated-sound,,
1323382,1,first-quarter,6,
1323381,0,simulated-sound,,
1323417,0,first-quarter,6,
1323204,0,simulated-sound,,
1348628,0,first-quarter,6,
1451089,0,automated-ringing,1,Virtual Belfry Ringing Simulator
1451089,1,automated-ringing,2,Virtual Belfry Ringing Simulator
1451089,2,automated-ringing,3,Virtual Belfry Ringing Simulator
1451089,3,automated-ringing,4,Virtual Belfry Ringing Simulator
1451089,4,automated-ringing,5,Virtual Belfry Ringing Simulator
1451089,5,automated-ringing,6,Virtual Belfry Ringing Simulator
1451089,6,automated-ringing,7,Virtual Belfry Ringing Simulator
1451089,7,automated-ringing,8,Virtual Belfry Ringing Simulator
1451089,8,automated-ringing,9,Virtual Belfry Ringing Simulator
1451089,9,simulated-sound,,
1322957,0,first-quarter,6,
1322674,0,first-quarter,1,
1322786,0,first-quarter,1,
1323130,0,first-peal,6,
1843923,0,first-peal,1,
1460797,0,first-quarter,6,
1324360,0,first-quarter,6,
1322473,0,first-quarter,4,
1322468,0,first-quarter,1,
1322468,1,first-quarter,6,
1322538,0,first-peal,1,
1322541,0,first-quarter,6,
1322401,0,first-quarter,1,
1322402,0,first-quarter,1,
1322475,0,first-peal,2,
1322300,0,first-quarter,1,
1322149,0,first-quarter,6,
1321649,0,simulated-sound,,
1322079,0,first-quarter,6,
1321417,0,first-quarter,3,
1587516,0,first-quarter,1,
1321148,0,first-quarter,6,
1321104,0,first-quarter,1,
1321196,0,first-quarter,6,
1657938,0,first-quarter,1,
1320675,0,first-quarter,4,
1320736,0,first-quarter,1,
1320793,0,first-quarter,6,
1320763,0,first-peal,1,
1320539,0,simulated-sound,,
1320209,0,simulated-sound,,
1320178,0,first-quarter,6,
1320211,0,first-quarter,1,
1320076,0,simulated-sound,,
1319813,0,simulated-sound,,
1319830,0,first-quarter,1,
1319738,0,first-quarter,1,
1319863,0,first-quarter,1,
1319476,0,first-quarter,1,
1319523,0,simulated-sound,,
1319474,0,simulated-sound,,
1319508,0,first-quarter,6,
1319333,0,first-quarter,6,
1319232,0,first-peal,2,
1319214,0,first-peal,3,
1319192,0,first-quarter,6,
1423152,0,first-peal,1,
1604275,0,simulated-sound,,Performed on a ring of dumb bells.
1319273,0,first-quarter,6,
1451087,0,automated-ringing,1,Virtual Belfry Ringing Simulator
1451087,1,automated-ringing,2,Virtual Belfry Ringing Simulator
1451087,2,automated-ringing,3,Virtual Belfry Ringing Simulator
1451087,3,automated-ringing,4,Virtual Belfry Ringing Simulator
1451087,4,simulated-sound,,
1319040,0,first-quarter,4,
1406678,0,false,,
1318731,0,first-quarter,4,
1318766,0,new-method,,
1451085,0,automated-ringing,1,Virtual Belfry Ringing Simulator
1451085,1,automated-ringing,2,Virtual Belfry Ringing Simulator
1451085,2,automated-ringing,3,Virtual Belfry Ringing Simulator
1451085,3,automated-ringing,4,Virtual Belfry Ringing Simulator
1451085,4,automated-ringing,5,Virtual Belfry Ringing Simulator
1451085,5,automated-ringing,6,Virtual Belfry Ringing Simulator
1451085,6,automated-ringing,7,Virtual Belfry Ringing Simulator
1451085,7,simulated-sound,,
1322041,0,first-quarter,1,
1318610,0,first-quarter,1,
1318476,0,simulated-sound,,
1318577,0,first-quarter,6,
1327579,0,first-peal,6,
1327579,1,first-peal,8,
1905599,0,first-peal,3,
1318233,0,first-quarter,6,
1318381,0,first-quarter,1,
1318176,0,first-quarter,2,
1318176,1,first-quarter,6,
1317915,0,first-quarter,1,
1317832,0,first-quarter,6,
1317728,0,first-quarter,1,
1921283,0,automated-ringing,,
1921283,1,simulated-sound,,
1615853,0,first-quarter,1,
1332968,0,first-quarter,1,
1656992,0,first-quarter,1,
1333382,0,first-peal,1,
1332839,0,first-peal,3,
1332839,1,first-peal,4,
1333031,0,first-quarter,3,
1410575,0,first-peal,2,
1333264,0,first-peal,8,
1333326,0,simulated-sound,,
1332717,0,new-method,,
1332700,0,first-peal,1,
1332700,1,first-peal,4,
1332497,0,first-quarter,1,
1333177,0,first-quarter,8,
1332401,0,first-quarter,1,
1332401,1,first-quarter,6,
1332400,0,first-quarter,6,
1332011,0,simulated-sound,,
1332007,0,simulated-sound,,
1332035,0,first-quarter,1,
1689214,0,first-quarter,1,
1689214,1,first-quarter,6,
1331070,0,first-quarter,6,
1332636,0,first-quarter,7,
1332636,1,first-quarter,8,
1451092,0,automated-ringing,1,Virtual Belfry Ringing Simulator
1451092,1,automated-ringing,2,Virtual Belfry Ringing Simulator
1451092,2,automated-ringing,3,Virtual Belfry Ringing Simulator
1451092,3,automated-ringing,4,Virtual Belfry Ringing Simulator
1451092,4,automated-ringing,5,Virtual Belfry Ringing Simulator
1451092,5,automated-ringing,6,Virtual Belfry Ringing Simulator
1451092,6,automated-ringing,7,Virtual Belfry Ringing Simulator
1451092,7,automated-ringing,8,Virtual Belfry Ringing Simulator
1451092,8,automated-ringing,9,Virtual Belfry Ringing Simulator
1451092,9,automated-ringing,10,Virtual Belfry Ringing Simulator
1451092,10,automated-ringing,11,Virtual Belfry Ringing Simulator
1451092,11,simulated-sound,,
1745141,0,first-quarter,6,
1330353,0,first-quarter,1,
1330394,0,first-quarter,1,
1330542,0,first-quarter,1,
1330373,0,first-quarter,6,
1332081,0,first-quarter,1,
1332081,1,first-quarter,6,
1331248,0,first-quarter,3,
1331692,0,first-quarter,6,
1330211,0,simulated-sound,,"On the front six, using the simulator"
1330062,0,first-quarter,1,
1330059,0,first-quarter,1,
1330295,0,first-quarter,1,
1330208,0,new-method,,
1330213,0,first-peal,2,
1330216,0,first-quarter,6,
1329836,0,first-quarter,1,
1329836,1,first-quarter,6,
1331156,0,first-quarter,6,
1329863,0,first-quarter,1,
1329744,0,new-method,,
1329473,0,first-quarter,1,
1329669,0,first-quarter,6,
1693345,0,first-quarter,6,
1329189,0,simulated-sound,,
1329442,0,first-quarter,4,
1329442,1,first-quarter,6,
1328781,0,simulated-sound,,
1745142,0,first-quarter,6,
1328367,0,first-quarter,1,
1328502,0,first-quarter,1,
1328502,1,first-quarter,6,
1328496,0,first-quarter,1,
1328473,0,simulated-sound,,
1328406,0,simulated-sound,,
1328504,0,first-quarter,1,
1328196,0,first-quarter,6,
1328752,0,first-peal,1,
1328184,0,first-peal,1,
1328215,0,first-quarter,3,
1524780,0,first-peal,2,
1524780,1,first-peal,4,
1524780,2,first-peal,6,
1327904,0,first-quarter,8,
1327538,0,simulated-sound,,
1327177,0,simulated-sound,,
1326962,0,simulated-sound,,
1326968,0,first-quarter,3,
1326968,1,first-quarter,4,
1326968,2,first-quarter,5,
1326968,3,first-quarter,6,
1327033,0,simulated-sound,,
1326912,0,simulated-sound,,
1326516,0,first-quarter,6,
1326709,0,first-quarter,1,
1326787,0,first-peal,3,
1416403,0,first-peal,2,
1326155,0,first-quarter,6,
1328903,0,first-quarter,6,
1326192,0,first-peal,8,
1326323,0,first-quarter,1,
1327310,0,first-quarter,6,
1326621,0,first-quarter,1,
1325798,0,first-quarter,6,
1325798,1,first-quarter,7,
1451091,0,automated-ringing,1,Virtual Belfry Ringing Simulator
1451091,1,automated-ringing,2,Virtual Belfry Ringing Simulator
1451091,2,automated-ringing,3,Virtual Belfry Ringing Simulator
1451091,3,automated-ringing,4,Virtual Belfry Ringing Simulator
1451091,4,automated-ringing,5,Virtual Belfry Ringing Simulator
1451091,5,automated-ringing,6,Virtual Belfry Ringing Simulator
1451091,6,automated-ringing,7,Virtual Belfry Ringing Simulator
1451091,7,automated-ringing,8,Virtual Belfry Ringing Simulator
1451091,8,automated-ringing,9,Virtual Belfry Ringing Simulator
1451091,9,automated-ringing,10,Virtual Belfry Ringing Simulator
1451091,10,automated-ringing,11,Virtual Belfry Ringing Simulator
1451091,11,simulated-sound,,
1325788,0,first-quarter,1,
1544069,0,first-quarter,3,
1325084,0,new-method,,
1324872,0,first-quarter,1,
1324727,0,first-peal,6,
1324421,0,first-quarter,6,
1324485,0,first-quarter,6,
1324249,0,first-quarter,1,
1324267,0,first-quarter,6,
1483030,0,first-quarter,3,
1324611,0,first-quarter,6,
1324611,1,first-quarter,8,
1325442,0,first-quarter,1,
1913491,0,first-quarter,6,
1324578,0,first-quarter,6,
1325643,0,first-quarter,6,
1324264,0,first-quarter,5,
1323974,0,first-quarter,1,
1324200,0,first-peal,4,
1628736,0,first-quarter,1,
1346748,0,simulated-sound,,
1359505,0,simulated-sound,,
1341535,0,automated-ringing,,
1451095,0,automated-ringing,1,Virtual Belfry Ringing Simulator
1451095,1,automated-ringing,2,Virtual Belfry Ringing Simulator
1451095,2,automated-ringing,3,Virtual Belfry Ringing Simulator
1451095,3,automated-ringing,4,Virtual Belfry Ringing Simulator
1451095,4,automated-ringing,5,Virtual Belfry Ringing Simulator
1451095,5,automated-ringing,6,Virtual Belfry Ringing Simulator
1451095,6,automated-ringing,7,Virtual Belfry Ringing Simulator
1451095,7,automated-ringing,8,Virtual Belfry Ringing Simulator
1451095,8,automated-ringing,9,Virtual Belfry Ringing Simulator
1451095,9,automated-ringing,10,Virtual Belfry Ringing Simulator
1451095,10,automated-ringing,11,Virtual Belfry Ringing Simulator
1451095,11,simulated-sound,,
1353925,0,first-quarter,1,
1353925,1,first-quarter,2,
1345187,0,simulated-sound,,
1340831,0,first-quarter,1,
1340831,1,first-quarter,2,
1340831,2,first-quarter,3,
1340831,3,first-quarter,4,
1340428,0,automated-ringing,,
1340428,1,simulated-sound,,
1420566,0,automated-ringing,1,Abel
1420566,1,automated-ringing,2,Abel
1420566,2,automated-ringing,3,Abel
1420566,3,automated-ringing,4,Abel
1420566,4,automated-ringing,5,Abel
1420566,5,automated-ringing,6,Abel
1420566,6,automated-ringing,8,Abel
1420566,7,automated-ringing,9,Abel
1420566,8,automated-ringing,10,Abel
1420566,9,automated-ringing,11,Abel
1420566,10,automated-ringing,12,Abel
1420566,11,simulated-sound,,
1339267,0,automated-ringing,,
1339267,1,simulated-sound,,
1340430,0,automated-ringing,,
1340430,1,simulated-sound,,
1339266,0,automated-ringing,,
1339266,1,simulated-sound,,
1339074,0,first-quarter,2,
1338527,0,automated-ringing,,
1338527,1,simulated-sound,,
1340431,0,automated-ringing,,
1340431,1,simulated-sound,,
1338425,0,automated-ringing,,
1338425,1,simulated-sound,,
1338591,0,automated-ringing,,
1338591,1,simulated-sound,,
1338491,0,automated-ringing,,
1338491,1,simulated-sound,,
1338299,0,automated-ringing,,
1338299,1,simulated-sound,,
1338395,0,simulated-sound,,
1337769,0,automated-ringing,,
1337769,1,simulated-sound,,
1337716,0,automated-ringing,,
1337716,1,simulated-sound,,
1337697,0,automated-ringing,,
1337697,1,simulated-sound,,
1511918,0,simulated-sound,,
1337222,0,first-quarter,6,
1337213,0,first-quarter,6,
1337208,0,automated-ringing,,
1337208,1,simulated-sound,,
1337225,0,first-quarter,1,
1336950,0,first-quarter,1,
1337385,0,first-quarter,6,
1336917,0,first-quarter,6,
1451094,0,automated-ringing,2,Virtual Belfry Ringing Simulator
1451094,1,automated-ringing,3,Virtual Belfry Ringing Simulator
1451094,2,automated-ringing,4,Virtual Belfry Ringing Simulator
1451094,3,automated-ringing,5,Virtual Belfry Ringing Simulator
1451094,4,automated-ringing,6,Virtual Belfry Ringing Simulator
1451094,5,automated-ringing,7,Virtual Belfry Ringing Simulator
1451094,6,automated-ringing,8,Virtual Belfry Ringing Simulator
1451094,7,simulated-sound,,
1336932,0,simulated-sound,,
1336523,0,first-peal,8,
1336498,0,first-quarter,6,
1336570,0,simulated-sound,,
1336570,1,first-quarter,1,
1336570,2,first-quarter,6,
1336556,0,first-quarter,1,
1336657,0,first-quarter,1,
1336388,0,first-quarter,5,
1336384,0,first-quarter,6,
1336414,0,first-quarter,6,
1336084,0,first-quarter,1,
1336567,0,first-quarter,1,
1336105,0,first-quarter,1,
1336043,0,first-quarter,6,
1336040,0,first-quarter,6,
1335557,0,simulated-sound,,
1335752,0,first-quarter,6,
1335752,1,first-quarter,7,
1335752,2,first-quarter,8,
1335165,0,first-quarter,6,
1335113,0,first-peal,1,
1334937,0,first-quarter,4,
1335743,0,first-quarter,6,
1334932,0,first-peal,6,
1334675,0,first-quarter,6,
1334516,0,first-quarter,6,
1334533,0,new-method,,
1334531,0,first-quarter,1,
1334531,1,first-quarter,6,
1451093,0,automated-ringing,1,Virtual Belfry Ringing Simulator
1451093,1,automated-ringing,2,Virtual Belfry Ringing Simulator
1451093,2,automated-ringing,3,Virtual Belfry Ringing Simulator
1451093,3,automated-ringing,4,Virtual Belfry Ringing Simulator
1451093,4,automated-ringing,5,Virtual Belfry Ringing Simulator
1451093,5,automated-ringing,6,Virtual Belfry Ringing Simulator
1451093,6,automated-ringing,7,Virtual Belfry Ringing Simulator
1451093,7,automated-ringing,8,Virtual Belfry Ringing Simulator
1451093,8,automated-ringing,9,Virtual Belfry Ringing Simulator
1451093,9,automated-ringing,10,Virtual Belfry Ringing Simulator
1451093,10,automated-ringing,11,Virtual Belfry Ringing Simulator
1451093,11,simulated-sound,,
1333832,0,first-quarter,6,
1333677,0,simulated-sound,,
1333129,0,first-quarter,1,
1333293,0,first-quarter,1,
1333189,0,first-peal,6,
1333173,0,first-quarter,6,
1333247,0,first-quarter,1,
1333247,1,first-quarter,6,
1484433,0,simulated-sound,,
1333192,0,first-quarter,6,
1773573,0,first-quarter,6,
1354377,0,first-quarter,3,
1354377,1,first-quarter,4,
1396621,0,automated-ringing,,
1396621,1,simulated-sound,,
1354798,0,simulated-sound,,
1354376,0,simulated-sound,,
1396622,0,automated-ringing,,
1396622,1,simulated-sound,,
1451098,0,automated-ringing,1,Virtual Belfry Ringing Simulator
1451098,1,automated-ringing,2,Virtual Belfry Ringing Simulator
1451098,2,automated-ringing,3,Virtual Belfry Ringing Simulator
1451098,3,automated-ringing,4,Virtual Belfry Ringing Simulator
1451098,4,automated-ringing,5,Virtual Belfry Ringing Simulator
1451098,5,automated-ringing,6,Virtual Belfry Ringing Simulator
1451098,6,automated-ringing,7,Virtual Belfry Ringing Simulator
1451098,7,automated-ringing,8,Virtual Belfry Ringing Simulator
1451098,8,automated-ringing,9,Virtual Belfry Ringing Simulator
1451098,9,simulated-sound,,
1353958,0,simulated-sound,,
1353928,0,simulated-sound,,
1353935,0,simulated-sound,,
1353941,0,simulated-sound,,
1900631,0,simulated-sound,,
1353350,0,simulated-sound,,
1353276,0,simulated-sound,,
1353299,0,simulated-sound,,
1353431,0,simulated-sound,,
1353339,0,simulated-sound,,
1359500,0,simulated-sound,,
1352914,0,simulated-sound,,
1352865,0,simulated-sound,,
1352727,0,simulated-sound,,
1352724,0,simulated-sound,,
1353272,0,simulated-sound,,
1359289,0,simulated-sound,,
1352101,0,simulated-sound,,
1352093,0,simulated-sound,,
1352122,0,simulated-sound,,
1352084,0,simulated-sound,,
1352414,0,simulated-sound,,
1352413,0,simulated-sound,,
1351834,0,simulated-sound,,
1351799,0,simulated-sound,,
1351807,0,simulated-sound,,
1351804,0,simulated-sound,,
1351801,0,simulated-sound,,
1351798,0,simulated-sound,,
1493657,0,simulated-sound,,
1351516,0,simulated-sound,,
1351518,0,simulated-sound,,
1351560,0,simulated-sound,,
1351531,0,simulated-sound,,
1351525,0,simulated-sound,,
1351826,0,simulated-sound,,
1351416,0,simulated-sound,,
1352636,0,simulated-sound,,
1497241,0,simulated-sound,,
1477813,0,simulated-sound,,
1351529,0,simulated-sound,,
1351197,0,automated-ringing,5,Lexi the Lego Ringing Robot
1351197,1,automated-ringing,6,Lexi the Lego Ringing Robot
1587201,0,simulated-sound,,
1420565,0,simulated-sound,,
1350990,0,simulated-sound,,
1351246,0,simulated-sound,,
1351194,0,simulated-sound,,
1493655,0,simulated-sound,,
1357894,0,simulated-sound,,
1350706,0,simulated-sound,,
1359291,0,simulated-sound,,
1350750,0,simulated-sound,,
1350703,0,simulated-sound,,
1477816,0,simulated-sound,,
1374570,0,simulated-sound,,
1451097,0,automated-ringing,1,Virtual Belfry Ringing Simulator
1451097,1,automated-ringing,2,Virtual Belfry Ringing Simulator
1451097,2,automated-ringing,3,Virtual Belfry Ringing Simulator
1451097,3,automated-ringing,4,Virtual Belfry Ringing Simulator
1451097,4,automated-ringing,5,Virtual Belfry Ringing Simulator
1451097,5,automated-ringing,6,Virtual Belfry Ringing Simulator
1451097,6,automated-ringing,7,Virtual Belfry Ringing Simulator
1451097,7,simulated-sound,,
1350469,0,simulated-sound,,
1493654,0,simulated-sound,,
1359501,0,simulated-sound,,
1493653,0,simulated-sound,,
1349548,0,simulated-sound,,
1587200,0,simulated-sound,,
1359502,0,simulated-sound,,
1588384,0,simulated-sound,,
1349621,0,simulated-sound,,
1349593,0,simulated-sound,,
1349704,0,simulated-sound,,
1349703,0,simulated-sound,,
1349661,0,simulated-sound,,
1349660,0,simulated-sound,,
1349658,0,simulated-sound,,
1349109,0,simulated-sound,,
1348744,0,simulated-sound,,
1349086,0,simulated-sound,,
1374569,0,simulated-sound,,
1349095,0,simulated-sound,,
1493652,0,simulated-sound,,
1349004,0,simulated-sound,,
1349003,0,simulated-sound,,
1348587,0,simulated-sound,,
1348531,0,first-quarter,1,
1348531,1,first-quarter,2,
1358262,0,simulated-sound,,
1396623,0,simulated-sound,,
1348563,0,simulated-sound,,
1348554,0,simulated-sound,,
1493651,0,simulated-sound,,
1347804,0,first-quarter,5,
1347804,1,first-quarter,6,
1359292,0,simulated-sound,,
1348079,0,simulated-sound,,
1477877,0,simulated-sound,,
1347606,0,simulated-sound,,
1359882,0,simulated-sound,,
1347494,0,simulated-sound,,
1357954,0,simulated-sound,,
1358260,0,simulated-sound,,
1347345,0,simulated-sound,,
1347349,0,simulated-sound,,
1347350,0,simulated-sound,,
1587199,0,simulated-sound,,
1347053,0,simulated-sound,,
1347348,0,simulated-sound,,
1347347,0,simulated-sound,,
1451096,0,automated-ringing,1,Virtual Belfry Ringing Simulator
1451096,1,automated-ringing,2,Virtual Belfry Ringing Simulator
1451096,2,automated-ringing,3,Virtual Belfry Ringing Simulator
1451096,3,automated-ringing,4,Virtual Belfry Ringing Simulator
1451096,4,automated-ringing,5,Virtual Belfry Ringing Simulator
1451096,5,automated-ringing,6,Virtual Belfry Ringing Simulator
1451096,6,automated-ringing,7,Virtual Belfry Ringing Simulator
1451096,7,automated-ringing,8,Virtual Belfry Ringing Simulator
1451096,8,automated-ringing,9,Virtual Belfry Ringing Simulator
1451096,9,automated-ringing,10,Virtual Belfry Ringing Simulator
1451096,10,automated-ringing,11,Virtual Belfry Ringing Simulator
1451096,11,simulated-sound,,
1346750,0,simulated-sound,,
1676489,0,simulated-sound,,
1347038,0,simulated-sound,,
1346661,0,simulated-sound,,
1346330,0,simulated-sound,,
1346242,0,simulated-sound,,
1346318,0,simulated-sound,,
1346321,0,simulated-sound,,
1346314,0,simulated-sound,,
1346317,0,simulated-sound,,
1346316,0,simulated-sound,,
1345947,0,simulated-sound,,
1345175,0,simulated-sound,,
1345678,0,simulated-sound,,
1346739,0,simulated-sound,,
1345652,0,simulated-sound,,
1344839,0,simulated-sound,,
1346285,0,simulated-sound,,
1344835,0,simulated-sound,,
1344619,0,automated-ringing,,
1344619,1,simulated-sound,,
1344324,0,simulated-sound,,
1359504,0,simulated-sound,,
1396624,0,automated-ringing,,
1396624,1,simulated-sound,,
1344351,0,simulated-sound,,
1344841,0,simulated-sound,,
1451047,0,automated-ringing,,
1451047,1,simulated-sound,,
1343825,0,simulated-sound,,
1343314,0,simulated-sound,,
1342954,0,simulated-sound,,
1342861,0,simulated-sound,,
1345068,0,simulated-sound,,
1350891,0,first-quarter,1,
