perf_id,position,flag_type,bell,flag_text
990845,0,first-quarter,6,
1155608,0,new-method,,
990818,0,new-method,,
990840,0,new-method,,
1001045,0,first-peal,4,
1155587,0,first-quarter,1,
990584,0,first-peal,3,
990638,0,first-peal,1,
990876,0,first-quarter,6,
990681,0,new-method,,
990707,0,first-quarter,6,
990644,0,first-quarter,6,
1000833,0,first-peal,1,
1885848,0,first-quarter,1,
990501,0,first-quarter,3,
991180,0,first-quarter,6,
990357,0,new-method,,
997748,0,first-quarter,1,
1964844,0,first-quarter,1,
1886228,0,first-quarter,6,
990121,0,first-quarter,2,
990121,1,first-quarter,6,
990104,0,simulated-sound,,
990098,0,simulated-sound,,
990152,0,new-method,,
1106807,0,first-quarter,8,
989790,0,first-quarter,1,
989716,0,first-quarter,6,
1964845,0,first-quarter,6,
989785,0,first-quarter,8,
989640,0,simulated-sound,,
1155543,0,automated-ringing,,
1155543,1,simulated-sound,,
989678,0,first-quarter,1,
989493,0,first-quarter,1,
989349,0,first-peal,1,
989349,1,first-peal,2,
989382,0,new-method,,
989142,0,new-method,,
989030,0,new-method,,
989067,0,first-quarter,6,
989056,0,first-quarter,6,
988783,0,simulated-sound,,
988747,0,new-method,,
1155463,0,first-quarter,6,
988847,0,new-method,,
988680,0,new-method,,
988526,0,new-method,,
988484,0,new-method,,
988411,0,new-method,,
1715386,0,new-method,,
988386,0,simulated-sound,,
1155383,0,first-peal,3,
988354,0,first-quarter,1,
988348,0,first-quarter,6,
988083,0,first-quarter,6,
988119,0,first-quarter,6,
988247,0,first-quarter,1,
988131,0,first-quarter,1,
988131,1,first-quarter,6,
988077,0,first-quarter,6,
988201,0,first-peal,4,
1155343,0,first-quarter,6,
1208742,0,first-quarter,1,
1208739,0,first-quarter,1,
987899,0,first-quarter,1,
987873,0,first-quarter,1,
987782,0,first-quarter,6,
987728,0,new-method,,
1155341,0,new-method,,
987585,0,new-method,,
987695,0,simulated-sound,,
987679,0,first-quarter,6,
987523,0,new-method,,
1715385,0,new-method,,
1155315,0,first-quarter,1,
1155315,1,first-quarter,6,
987017,0,first-quarter,6,
1043340,0,new-method,,
986964,0,first-quarter,1,
986964,1,first-quarter,2,
986858,0,new-method,,
1155262,0,first-quarter,6,
995233,0,new-method,,
995189,0,new-method,,
995197,0,simulated-sound,,
995224,0,first-peal,1,
1155944,0,new-method,,
995642,0,first-quarter,1,
995642,1,first-quarter,6,
994656,0,first-quarter,6,
994676,0,first-quarter,6,
994681,0,first-quarter,6,
994852,0,first-peal,3,
997767,0,first-quarter,1,
997767,1,first-quarter,5,
996268,0,first-quarter,1,
994370,0,new-method,,
997835,0,first-quarter,1,
994341,0,first-quarter,6,
1715394,0,new-method,,
994241,0,simulated-sound,,
994238,0,simulated-sound,,
1156033,0,new-method,,
1155874,0,first-quarter,2,
1155837,0,first-quarter,6,
1155853,0,new-method,,
997766,0,first-quarter,3,
993817,0,new-method,,
997764,0,first-peal,3,
997764,1,first-peal,4,
993671,0,new-method,,
993847,0,new-method,,
993975,0,first-quarter,6,
1155815,0,new-method,,
993483,0,new-method,,
1005349,0,new-method,,
1155800,0,first-quarter,1,
993186,0,new-method,,
1155788,0,simulated-sound,,
995801,0,first-quarter,1,
1155795,0,first-quarter,1,
993130,0,simulated-sound,,
992996,0,first-quarter,1,
993025,0,first-quarter,2,
1155799,0,new-method,,
1155872,0,new-method,,
1155774,0,first-quarter,1,
993145,0,first-quarter,1,
992466,0,first-quarter,6,
992504,0,first-quarter,1,
992596,0,new-method,,
992355,0,new-method,,
992395,0,first-quarter,1,
1210142,0,first-quarter,6,
992194,0,new-method,,
1155709,0,first-quarter,1,
992163,0,new-method,,
991949,0,first-quarter,1,
991774,0,first-quarter,8,
991791,0,first-quarter,6,
1453689,0,first-quarter,6,
1964842,0,first-quarter,1,
991813,0,jump-changes,,
991531,0,new-method,,
991577,0,first-peal,4,
991525,0,first-quarter,2,
991564,0,simulated-sound,,
991559,0,simulated-sound,,
991454,0,first-quarter,6,
991449,0,first-quarter,8,
991537,0,first-quarter,2,
